level_0,level_1,level_2,level_3,level_4,level_5,description
Social Interaction,Social Communication,Verbal Communication,Conversation Skills,,Defining acceptable limits and conditions in negotiations.,
Social Interaction,Social Communication,Verbal Communication,Conversation Skills,Turn-Taking,Techniques for clearly defining and communicating negotiation boundaries.,
Social Interaction,Social Communication,Verbal Communication,Conversation Skills,Turn-Taking,Conversational Rhythm Synchronization,The use of verbal and non-verbal communication methods to engage in social contexts effectively and appropriately.
Social Interaction,Social Communication,Verbal Communication,Conversation Skills,Clarification Requests,The use of spoken language to convey messages in social contexts.,
Social Interaction,Social Communication,Verbal Communication,Conversation Skills,Clarification Requests,Precision Questioning Skills,The ability to effectively exchange ideas and information verbally.
Social Interaction,Social Communication,Verbal Communication,Public Speaking,,Managing the flow of conversation by taking turns speaking.,
Social Interaction,Social Communication,Verbal Communication,Public Speaking,Audience Adaptation,Aligning conversational timing with others.,
Social Interaction,Social Communication,Verbal Communication,Public Speaking,Audience Adaptation,Engagement Techniques,Seeking clarification to ensure understanding in communication.
Social Interaction,Social Communication,Verbal Communication,Public Speaking,Speech Structuring,Skills for asking precise questions to clarify communication.,
Social Interaction,Social Communication,Verbal Communication,Public Speaking,Speech Structuring,Narrative Structuring Strategies,The skill of speaking in front of an audience in an engaging and coherent manner.
Social Interaction,Social Communication,Non-Verbal Communication,,,Tailoring speech content and style to the audience.,
Social Interaction,Social Communication,Non-Verbal Communication,Gesture Use,,Methods to engage audience effectively during speeches.,
Social Interaction,Social Communication,Non-Verbal Communication,Gesture Use,Expressive Gestures,Organizing and sequencing information logically during speech.,
Social Interaction,Social Communication,Non-Verbal Communication,Gesture Use,Expressive Gestures,Gesture Emphasis Techniques,Strategies for constructing narratives within speeches.
Social Interaction,Social Communication,Non-Verbal Communication,Gesture Use,Regulatory Gestures,"The use of gestures, facial expressions, and body language in social interactions.",
Social Interaction,Social Communication,Non-Verbal Communication,Gesture Use,Regulatory Gestures,Flow Control Methods,The ability to use hand and body movements to communicate effectively.
Social Interaction,Social Communication,Non-Verbal Communication,Eye Contact,,Using gestures to enhance and emphasize speech.,
Social Interaction,Social Communication,Non-Verbal Communication,Eye Contact,Gaze Synchrony,Techniques for emphasizing points through gestures.,
Social Interaction,Social Communication,Non-Verbal Communication,Eye Contact,Gaze Synchrony,Eye Contact Timing Techniques,Gestures used to control and coordinate conversation flow.
Social Interaction,Social Communication,Non-Verbal Communication,Eye Contact,Gaze Aversion,Methods to maintain conversational flow using gestures.,
Social Interaction,Social Communication,Non-Verbal Communication,Eye Contact,Gaze Aversion,Aversion Indication Skills,The use of eye movements to convey information and regulate interaction.
Communication and Language,,,,,Matching eye contact timing with conversational flow.,
Communication and Language,Language Comprehension,,,,Techniques to synchronize gaze with conversation flow.,
Communication and Language,Language Comprehension,Vocabulary Comprehension,,,Using eye contact or lack thereof to convey discomfort or deception.,
Communication and Language,Language Comprehension,Vocabulary Comprehension,Semantic Networks,,Skills for indicating emotions or deception through gaze behavior.,
Communication and Language,Language Comprehension,Vocabulary Comprehension,Semantic Networks,Conceptual Grouping,,
Communication and Language,Language Comprehension,Vocabulary Comprehension,Semantic Networks,Conceptual Grouping,Subordinate and Superordinate Categorization,"Understanding spoken and written language, including vocabulary and grammar."
Communication and Language,Language Comprehension,Grammar Comprehension,,,Understanding the meaning of a broad range of words and their associations.,
Communication and Language,Language Comprehension,Grammar Comprehension,Morphological Awareness,,Understanding how words are related and grouped according to meaning.,
Communication and Language,Language Comprehension,Grammar Comprehension,Morphological Awareness,Suffixation Patterns,The ability to categorize words based on shared attributes or concepts.,
Communication and Language,Language Comprehension,Grammar Comprehension,Morphological Awareness,Suffixation Patterns,Inflectional Suffixes,Recognizing hierarchical relationships between general and specific words.
Communication and Language,Expressive Language,,,,The ability to produce and articulate thoughts verbally or in writing.,
Communication and Language,Expressive Language,Speech Production,,,"Understanding sentence structure, syntax, and the rules governing them.",
Communication and Language,Expressive Language,Speech Production,Phonological Skills,,"Understanding and using the smallest units of meaning in a language, such as root words, prefixes, and suffixes.",
Communication and Language,Expressive Language,Speech Production,Phonological Skills,Phonemic Awareness,The ability to recognize and manipulate phonemes in spoken words.,
Communication and Language,Expressive Language,Speech Production,Phonological Skills,Phonemic Awareness,Phoneme Manipulation,Understanding the use and meaning of suffixes in word formation.
Communication and Language,Expressive Language,Written Expression,,,"Recognizing suffixes that modify tense, number, and comparison without changing a word's core meaning.",
Communication and Language,Expressive Language,Written Expression,Spelling,,"The ability to express thoughts, needs, and ideas through speech, writing, or other forms of communication.",
Communication and Language,Expressive Language,Written Expression,Spelling,Orthographic Processing,The ability to articulate sounds and words fluently.,
Communication and Language,Expressive Language,Written Expression,Spelling,Orthographic Processing,Visual Word Recognition,The ability to use and manipulate sounds in words.
Communication and Language,Nonverbal Communication,,,,"The ability to change, move, or add sounds within words for accurate speech production.",
Communication and Language,Nonverbal Communication,Gestural Communication,,,"The ability to convey meaning through writing, including spelling and composition.",
Communication and Language,Nonverbal Communication,Gestural Communication,Sign Language Usage,,The ability to accurately sequence letters to form words.,
Communication and Language,Nonverbal Communication,Gestural Communication,Sign Language Usage,Fingerspelling Proficiency,The ability to recognize written words and patterns.,
Communication and Language,Nonverbal Communication,Facial Expressions,,,The ability to identify and understand words by sight.,
Communication and Language,Nonverbal Communication,Facial Expressions,Microexpressions Recognition,,"Use of gestures, facial expressions, and body language to communicate without words.",
Communication and Language,Nonverbal Communication,Facial Expressions,Microexpressions Recognition,Emotional Valence Detection,Using hand movements and gestures to convey messages.,
Communication and Language,Pragmatic Language,,,,The use of sign language systems to communicate meaning.,
Communication and Language,Pragmatic Language,Conversational Skills,,,The ability to accurately use finger alphabet for spelling out words.,
Communication and Language,Pragmatic Language,Conversational Skills,Active Listening,,Determining the most important goals for the team.,
Communication and Language,Pragmatic Language,Conversational Skills,Active Listening,Empathic Listening,Using facial movements to display emotions and reactions.,
Communication and Language,Pragmatic Language,Conversational Skills,Active Listening,Empathic Listening,Emotion Reflecting,"The ability to detect brief, involuntary facial expressions of emotion."
Communication and Language,Pragmatic Language,Understanding Sarcasm and Humor,,,"Identifying the positive, negative, or neutral nature of detected emotions.",
Communication and Language,Pragmatic Language,Understanding Sarcasm and Humor,Metaphor and Idiom Comprehension,,"The use of language in social contexts, understanding and following social rules of communication.",
Communication and Language,Pragmatic Language,Understanding Sarcasm and Humor,Metaphor and Idiom Comprehension,Proverbial Understanding,"The ability to manage conversations, including turn-taking and topic maintenance.",
Communication and Language,Receptive Language,,,,The ability to understand and process spoken and written language.,
Communication and Language,Receptive Language,Listening Comprehension,,,Understanding and interpreting spoken language.,
Communication and Language,Receptive Language,Listening Comprehension,Auditory Memory,,Engaging attentively with speakers to understand their message fully.,
Communication and Language,Receptive Language,Listening Comprehension,Auditory Memory,Sequential Auditory Memory,Understanding and responding to the emotions and feelings of a speaker.,
Communication and Language,Receptive Language,Listening Comprehension,Auditory Memory,Sequential Auditory Memory,Auditory Sequential Processing,The ability to accurately reflect the speaker's feelings in conversation.
Communication and Language,Receptive Language,Reading Comprehension,,,"The ability to interpret sarcasm, jokes, and non-literal language.",
Communication and Language,Receptive Language,Reading Comprehension,Inferential Reasoning,,Understanding figurative expressions and their meanings in context.,
Communication and Language,Receptive Language,Reading Comprehension,Inferential Reasoning,Contextual Inference,Grasping the underlying messages in traditional sayings or proverbs.,
Communication and Language,Receptive Language,Reading Comprehension,Inferential Reasoning,Contextual Inference,Hypothetical Prediction,"The ability to process and understand information received, including listening and reading comprehension."
Behavioral Control,,,,,Understanding spoken language and auditory information.,
Behavioral Control,Self-Discipline,,,,The capacity to retain and recall spoken information.,
Behavioral Control,Self-Discipline,Goal Management,,,The ability to remember auditory information in specific order.,
Behavioral Control,Self-Discipline,Goal Management,Goal Setting,,Establishing objectives and determining steps to achieve them.,
Behavioral Control,Self-Discipline,Goal Management,Goal Setting,Strategic Planning,Processing auditory input in a logical and ordered sequence.,
Behavioral Control,Self-Discipline,Goal Management,Goal Setting,Hierarchy of Goals,Understanding and interpreting written texts and materials.,
Behavioral Control,Self-Discipline,Goal Management,Persistence,,The ability to make logical conclusions and predictions based on text.,
Behavioral Control,Self-Discipline,Goal Management,Persistence,Resilience to Setbacks,Using surrounding text to derive meaning or conclusions.,
Behavioral Control,Self-Discipline,Goal Management,Persistence,Concentration,Forming predictions about text based on hypothetical scenarios.,
Behavioral Control,Self-Discipline,Emotional Stability,,,"Behavioral Control refers to an individual's ability to regulate their actions, emotions, and thoughts in pursuit of long-term goals. It encompasses self-discipline, impulse control, and the ability to act in accordance with social norms and expectations.",
Behavioral Control,Self-Discipline,Emotional Stability,Stress Tolerance,,"The ability to regulate emotions, thoughts, and behaviors in the face of temptations and impulses.",
Behavioral Control,Self-Discipline,Emotional Stability,Stress Tolerance,Acute Stress Management,"The ability to set, maintain, and work towards personal goals in the face of external and internal pressures.",
Behavioral Control,Self-Discipline,Emotional Stability,Stress Tolerance,Chronic Stress Resilience,The capacity to define realistic and clear objectives for personal achievement.,
Behavioral Control,Self-Discipline,Emotional Stability,Emotional Resilience,,The capacity to recover quickly from emotional difficulties.,
Behavioral Control,Self-Discipline,Emotional Stability,Emotional Resilience,Emotional Recovery,Formulating actionable plans to achieve specific long-term objectives.,
Behavioral Control,Self-Discipline,Emotional Stability,Emotional Resilience,Optimism,Organizing goals in terms of priority and importance to enhance focus and direction.,
Behavioral Control,Impulse Control,,,,Managing immediate emotional and behavioral reactions.,
Behavioral Control,Impulse Control,Delay of Gratification,,,The ability to wait in order to obtain something more rewarding later.,
Behavioral Control,Impulse Control,Delay of Gratification,Planning,,The ability to create a roadmap to reach a goal or complete a task efficiently.,
Behavioral Control,Impulse Control,Delay of Gratification,Planning,Scenario Analysis,Sustaining effort and maintaining focus on objectives despite obstacles or difficulties.,
Behavioral Control,Impulse Control,Delay of Gratification,Planning,Resource Allocation,The ability to recover and maintain motivation after experiencing failures or delays.,
Behavioral Control,Impulse Control,Delay of Gratification,Patience,,Maintaining focused attention on a particular task or goal over time.,
Behavioral Control,Impulse Control,Delay of Gratification,Patience,Long-term Patience,The capability to remain steady and withstand emotional disturbances while pursuing tasks.,
Behavioral Control,Impulse Control,Delay of Gratification,Patience,Immediate Patience,The capacity to endure stressful situations without negatively impacting focus or performance.,
Behavioral Control,Impulse Control,Cognitive Inhibition,,,Handling immediate and short term stressors effectively to maintain performance.,
Behavioral Control,Impulse Control,Cognitive Inhibition,Selective Attention,,The ability to focus on relevant stimuli while ignoring irrelevant information.,
Behavioral Control,Impulse Control,Cognitive Inhibition,Selective Attention,Sensory Filtering,Handling long-term or repeated stress stimuli while maintaining functionality and well-being.,
Behavioral Control,Impulse Control,Cognitive Inhibition,Selective Attention,Focused Listening,Ability to recover quickly from emotional upset or disappointment.,
Behavioral Control,Impulse Control,Cognitive Inhibition,Thought Suppression,,The speed and efficiency with which one returns to a stable emotional state after disruption.,
Behavioral Control,Impulse Control,Cognitive Inhibition,Thought Suppression,Rumination Control,"Maintaining a positive outlook, contributing to quicker recovery from setbacks.",
Behavioral Control,Impulse Control,Cognitive Inhibition,Thought Suppression,Mindfulness Practice,"The capacity to resist or delay an impulse, drive, or temptation to act.",
Behavioral Control,Social Compliance,,,,The ability to delay immediate rewards in favor of long-term benefits.,
Behavioral Control,Social Compliance,Norm Adherence,,,"Anticipating future needs, challenges, and opportunities to prepare actions accordingly.",
Behavioral Control,Social Compliance,Norm Adherence,Role Understanding,,Evaluating potential future events to better craft responses within plans.,
Behavioral Control,Social Compliance,Norm Adherence,Role Understanding,Social Role Application,Effectively distributing time and resources in order to maximize future outcomes.,
Behavioral Control,Social Compliance,Norm Adherence,Role Understanding,Contextual Behavior Adjustment,The ability to remain calm and composed while waiting for a desired outcome.,
Behavioral Control,Social Compliance,Norm Adherence,Etiquette,,Sustaining calm and positivity while waiting for outcomes over extended periods.,
Behavioral Control,Social Compliance,Norm Adherence,Etiquette,Politeness Strategies,Maintaining composure and reducing frustration in brief waiting periods.,
Behavioral Control,Social Compliance,Norm Adherence,Etiquette,Cultural Etiquette Adaptation,The ability to suppress irrelevant or distracting information when making decisions.,
Behavioral Control,Social Compliance,Cooperativeness,,,Focusing on relevant sensory information while ignoring distractions.,
Behavioral Control,Social Compliance,Cooperativeness,Team Participation,,Tuning out unnecessary sensory stimuli to maintain concentration.,
Behavioral Control,Social Compliance,Cooperativeness,Team Participation,Task Sharing,Concentrating auditory attention solely on pertinent information.,
Behavioral Control,Social Compliance,Cooperativeness,Team Participation,Collaborative Ideation,The conscious effort to avoid specific thoughts or memories.,
Behavioral Control,Social Compliance,Cooperativeness,Conflict Resolution,,Workshops to promote understanding and clarity of team goals.,
Behavioral Control,Social Compliance,Cooperativeness,Conflict Resolution,Mediation Skills,Preventing repetitive dark or distressing thought cycles.,
Behavioral Control,Social Compliance,Cooperativeness,Conflict Resolution,Negotiation Tactics,Utilizing focused practices to minimize intrusive thoughts.,
Behavioral Control,Emotional Regulation,,,,"Adhering to social norms and rules, including consideration for others and the ability to cooperate.",
Behavioral Control,Emotional Regulation,Emotional Awareness,,,Understanding and recognizing one's own emotions.,
Behavioral Control,Emotional Regulation,Emotional Awareness,Self-Monitoring,,Following societal and cultural expectations and rules in various contexts.,
Behavioral Control,Emotional Regulation,Emotional Awareness,Self-Monitoring,Emotional Diary Keeping,Comprehending one's place within social or cultural structures and acting accordingly.,
Behavioral Control,Emotional Regulation,Emotional Awareness,Self-Monitoring,Real-time Emotional Feedback,Actively fulfilling the responsibilities associated with one's role in society.,
Behavioral Control,Emotional Regulation,Emotional Awareness,Emotional Insight,,Understanding the origins and implications of one's emotional responses.,
Behavioral Control,Emotional Regulation,Emotional Awareness,Emotional Insight,Trigger Identification,Adapting behavior to align with different social or situational expectations.,
Behavioral Control,Emotional Regulation,Emotional Awareness,Emotional Insight,Causal Analysis,Adhering to conventional manners and behaviors within social contexts.,
Behavioral Control,Emotional Regulation,Emotional Flexibility,,,Employing tactics and communication that maintain decorum and respect.,
Behavioral Control,Emotional Regulation,Emotional Flexibility,Adaptability,,Adjusting behavior to match the cultural norms in cross-cultural exchanges.,
Behavioral Control,Emotional Regulation,Emotional Flexibility,Adaptability,Regulatory Strategy Selection,The ability to work effectively and harmoniously with others.,
Behavioral Control,Emotional Regulation,Emotional Flexibility,Adaptability,Dynamic Behavioral Adjustment,Active and effective engagement in group activities or tasks.,
Behavioral Control,Emotional Regulation,Emotional Flexibility,Mood Adjustment,,Distributing responsibilities and roles among group members effectively.,
Behavioral Control,Emotional Regulation,Emotional Flexibility,Mood Adjustment,Mood Elevation Techniques,Generating ideas and solutions collectively with team members.,
Behavioral Control,Emotional Regulation,Emotional Flexibility,Mood Adjustment,Situational Mood Alignment,Effectively identifying and resolving disagreements in social or professional settings.,
Physical Health and Activity,,,,,Providing a neutral ground to help others in conflict find common solutions.,
Physical Health and Activity,Physical Fitness,,,,Employing strategies to reach mutually beneficial agreements.,
Physical Health and Activity,Physical Fitness,Strength,,,Managing one's emotional state to remain focused and avoid emotional outbursts.,
Physical Health and Activity,Physical Fitness,Strength,Muscular Strength,,Recognizing and understanding one’s own emotions.,
Physical Health and Activity,Physical Fitness,Strength,Muscular Strength,Isometric Strength,"Observing one's thoughts, feelings, and behaviors to remain aware of emotional states.",
Physical Health and Activity,Physical Fitness,Strength,Muscular Strength,Isotonic Strength,Using personal logs to track and reflect upon emotional experiences over time.,
Physical Health and Activity,Physical Fitness,Endurance,,,Utilizing immediate feedback mechanisms to better understand emotional triggers and responses.,
Physical Health and Activity,Physical Fitness,Endurance,Cardiovascular Endurance,,Understanding the underlying causes and triggers of emotional responses.,
Physical Health and Activity,Physical Fitness,Endurance,Cardiovascular Endurance,VO2 Max,Recognizing specific events or thoughts that provoke emotional responses.,
Physical Health and Activity,Physical Fitness,Endurance,Muscular Endurance,,Analyzing the underlying reasons for emotional reactions to better anticipate future responses.,
Physical Health and Activity,Physical Fitness,Endurance,Muscular Endurance,Static Endurance,The ability to adapt emotional responses based on situational demands.,
Physical Health and Activity,Physical Fitness,Endurance,Muscular Endurance,Dynamic Endurance,Adjusting emotional and behavioral responses to changing environments or circumstances.,
Physical Health and Activity,Physical Fitness,Flexibility,,,Choosing appropriate emotional regulation strategies based on context.,
Physical Health and Activity,Physical Fitness,Flexibility,Static Flexibility,,Adjusting actions and emotional outputs as situations evolve.,
Physical Health and Activity,Physical Fitness,Flexibility,Static Flexibility,Static Stretching,Shifting one's emotional state purposefully to better align with current goals or situations.,
Physical Health and Activity,Physical Fitness,Flexibility,Dynamic Flexibility,,Utilizing specific techniques to lift mood and enhance emotional state.,
Physical Health and Activity,Physical Fitness,Flexibility,Dynamic Flexibility,Ballistic Stretching,Shaping mood to suit the requirements of a specific context or environment.,
Physical Health and Activity,Physical Fitness,Cardiovascular Health,,,"This dimension encompasses the overall physical well-being and movement-related aspects of an individual. It includes aspects that contribute to physical fitness, bodily health, and the ability to engage in various physical activities.",
Physical Health and Activity,Physical Fitness,Cardiovascular Health,Heart Health,,"Refers to the overall state of physical health, including strength, endurance, flexibility, and cardiovascular health.",
Physical Health and Activity,Physical Fitness,Cardiovascular Health,Heart Health,Heart Rate Variability,The ability of muscles to exert force during an activity.,
Physical Health and Activity,Physical Fitness,Cardiovascular Health,Lung Capacity,,The maximum amount of force a muscle can produce in a single effort.,
Physical Health and Activity,Physical Fitness,Cardiovascular Health,Lung Capacity,Vital Capacity,The maximum force exerted by a muscle or muscle group without changing length.,
Physical Health and Activity,Motor Skills Development,,,,"The force exerted by a muscle or muscle group while the muscle changes length (e.g., in lifting weights).",
Physical Health and Activity,Motor Skills Development,Fine Motor Skills,,,The ability to sustain physical activity over a period of time.,
Physical Health and Activity,Motor Skills Development,Fine Motor Skills,Hand-Eye Coordination,,The ability to synchronize visual input with motor actions.,
Physical Health and Activity,Motor Skills Development,Fine Motor Skills,Hand-Eye Coordination,Visual-Motor Integration,The ability to coordinate visual perceptual skills with motor skills.,
Physical Health and Activity,Motor Skills Development,Fine Motor Skills,Dexterity,,The ability of the heart and lungs to work together to provide the needed oxygen and fuel to the body during sustained workloads.,
Physical Health and Activity,Motor Skills Development,Fine Motor Skills,Dexterity,Finger Dexterity,The maximum rate of oxygen consumption measured during incremental exercise.,
Physical Health and Activity,Motor Skills Development,Gross Motor Skills,,,"The ability of a muscle, or group of muscles, to sustain repeated contractions or to continue applying force against a fixed resistance.",
Physical Health and Activity,Motor Skills Development,Gross Motor Skills,Balance,,The ability to hold a position or to keep muscles contracted over time without movement.,
Physical Health and Activity,Motor Skills Development,Gross Motor Skills,Balance,Static Balance,The ability to continue repetitive movements involving muscle contraction over time.,
Physical Health and Activity,Motor Skills Development,Gross Motor Skills,Balance,Dynamic Balance,The range of motion available at a joint.,
Physical Health and Activity,Nutrition and Diet,,,,The range of motion around a joint when the body is in a stationary position.,
Physical Health and Activity,Nutrition and Diet,Macronutrient Balance,,,Stretching a muscle to the point of slight discomfort and holding the position.,
Physical Health and Activity,Nutrition and Diet,Macronutrient Balance,Carbohydrate Intake,,The ability to perform dynamic movements within the full range of motion in the joints.,
Physical Health and Activity,Nutrition and Diet,Macronutrient Balance,Carbohydrate Intake,Simple Carbohydrates,Dynamic movements involving bouncing to push the flexibility boundaries.,
Physical Health and Activity,Nutrition and Diet,Macronutrient Balance,Carbohydrate Intake,Complex Carbohydrates,"The efficiency of the heart, lungs, and vascular system in delivering oxygen to the body during sustained activity.",
Physical Health and Activity,Nutrition and Diet,Micronutrient Intake,,,Refers to the condition and performance of the heart and its ability to pump blood effectively.,
Physical Health and Activity,Nutrition and Diet,Micronutrient Intake,Vitamin Intake,,"The variation in time between each heartbeat, indicating autonomic nervous system balance.",
Physical Health and Activity,Nutrition and Diet,Micronutrient Intake,Vitamin Intake,Water-Soluble Vitamins,The total amount of air that the lungs can hold.,
Physical Health and Activity,Nutrition and Diet,Micronutrient Intake,Mineral Intake,,The maximum amount of air a person can expel from the lungs after a maximum inhalation.,
Physical Health and Activity,Nutrition and Diet,Micronutrient Intake,Mineral Intake,Trace Minerals,Involves the development and refinement of fine and gross motor skills which are essential for coordinated movement and activity.,
Physical Health and Activity,Sleep and Rest,,,,"Skills involving small muscle movements, particularly in the hands and fingers, such as writing or picking up small objects.",
Physical Health and Activity,Sleep and Rest,Sleep Quality,,,The ability to perform activities that require simultaneous use of our hands and eyes.,
Physical Health and Activity,Sleep and Rest,Sleep Quality,REM Sleep,,Coordination of visual perceptual skills with motor skills.,
Physical Health and Activity,Sleep and Rest,Sleep Quality,REM Sleep,REM Latency,"Skill in performing tasks, especially with the hands.",
Physical Health and Activity,Sleep and Rest,Sleep Quantity,,,The ability to make precisely coordinated movements of the fingers to grasp and manipulate objects.,
Physical Health and Activity,Sleep and Rest,Sleep Quantity,Sleep Duration,,"Skills involving large muscle groups for activities such as walking, running, and jumping.",
Physical Health and Activity,Sleep and Rest,Sleep Quantity,Sleep Duration,Napping,The ability to maintain control of body position while stationary or moving.,
Physical Health and Activity,Exercise and Physical Activity,,,,"Maintaining equilibrium when stationary, such as when standing still.",
Physical Health and Activity,Exercise and Physical Activity,Aerobic Activities,,,"Maintaining equilibrium when in motion, such as when walking or running.",
Physical Health and Activity,Exercise and Physical Activity,Aerobic Activities,Walking,,Focuses on the dietary habits and nutritional intake that influence physical health and function.,
Physical Health and Activity,Exercise and Physical Activity,Anaerobic Activities,,,"The proportion of carbohydrates, proteins, and fats in the diet.",
Physical Health and Activity,Exercise and Physical Activity,Anaerobic Activities,Weightlifting,,"The consumption of carbohydrates, which provide energy for the body.",
Attention and Perception,,,,,Sugars that provide a quick source of energy.,
Attention and Perception,Sustained Attention,,,,The capacity to maintain consistent focus over time.,
Attention and Perception,Sustained Attention,Vigilance,,,Starches that provide sustained energy and dietary fiber.,
Attention and Perception,Sustained Attention,Vigilance,Responsiveness to Rare Events,,The consumption of vitamins and minerals necessary for body function.,
Attention and Perception,Sustained Attention,Vigilance,Responsiveness to Rare Events,Signal Detection Accuracy,The consumption of organic compounds required in small amounts for growth and health.,
Attention and Perception,Sustained Attention,Vigilance,Responsiveness to Rare Events,Alertness Threshold,Vitamins that dissolve in water and are not stored in the body.,
Attention and Perception,Sustained Attention,Fatigue Resistance,,,The consumption of inorganic elements that play key roles in body processes.,
Attention and Perception,Sustained Attention,Fatigue Resistance,Stress Resiliency,,"Minerals required by the body in small amounts, such as iron and zinc.",
Attention and Perception,Sustained Attention,Fatigue Resistance,Endurance Training Capacity,,"Pertains to the quality and quantity of sleep and rest, impacting overall physical health and recovery.",
Attention and Perception,Concentration,,,,Forming predictions about text based on hypothetical scenarios.,
Attention and Perception,Concentration,Distraction Control,,,"The measure of how well one sleeps, including factors like duration, depth, and restfulness.",
Attention and Perception,Concentration,Distraction Control,Internal Interference Management,,"Rapid Eye Movement sleep, the sleep stage where dreaming occurs and is crucial for cognitive functions and mood regulation.",
Attention and Perception,Concentration,Distraction Control,External Noise Filtering,,The duration of time it takes to reach REM sleep after falling asleep.,
Attention and Perception,Mental Stamina,,,,The total amount of sleep time and its adequacy for the individual.,
Attention and Perception,Mental Stamina,Cognitive Load Management,,,Total hours of sleep obtained in a sleep period.,
Attention and Perception,Mental Stamina,Prolonged Engagement,,,The practice of taking a short sleep during the day.,
Adaptive Functioning and Life Skills,,,,,Relates to the engagement in structured or unstructured physical activities that contribute to overall health and well-being.,
Adaptive Functioning and Life Skills,Personal Care,,,,Physical activities that increase the heart rate and improve the body's use of oxygen.,
Adaptive Functioning and Life Skills,Personal Care,Self-feeding Skills,,,"A low-impact, moderate aerobic activity involving movement on foot at a regular pace.",
Adaptive Functioning and Life Skills,Personal Care,Self-feeding Skills,Utensil Usage,,"Intense, short bursts of activity where the body's demand for oxygen exceeds the oxygen supply available.",
Adaptive Functioning and Life Skills,Personal Care,Self-feeding Skills,Portion Control,,Resistance-based exercise for building strength and muscle mass.,
Adaptive Functioning and Life Skills,Personal Care,Personal Hygiene Management,,,"The capacity to focus, maintain, and appropriately shift attention, and to interpret sensory information accurately.",
Adaptive Functioning and Life Skills,Personal Care,Personal Hygiene Management,Bathing and Showering Skills,,The ability to maintain consistent attention to a task or stimulus over a period of time.,
Adaptive Functioning and Life Skills,Personal Care,Personal Hygiene Management,Bathing and Showering Skills,Water Temperature Safety,The ability to maintain attention over prolonged periods with readiness to detect rarely occurring changes in stimuli.,
Adaptive Functioning and Life Skills,Personal Care,Personal Hygiene Management,Bathing and Showering Skills,Water Temperature Safety,Temperature Monitoring Techniques,The ability to detect and respond to infrequent but critical events in the environment.
Adaptive Functioning and Life Skills,Personal Care,Personal Hygiene Management,Oral Hygiene,,The ability to correctly identify important signals or events from a background of noise or distractions.,
Adaptive Functioning and Life Skills,Personal Care,Personal Hygiene Management,Oral Hygiene,Flossing Technique,The level of alertness required to effectively detect and react to rare events.,
Adaptive Functioning and Life Skills,Personal Care,Personal Hygiene Management,Oral Hygiene,Flossing Technique,Floss Type Selection,"The ability to maintain focus and productivity over extended periods, despite potential fatigue."
Adaptive Functioning and Life Skills,Personal Care,Dressing Skills,,,The ability to maintain attentional focus and cognitive performance in the face of stressful conditions.,
Adaptive Functioning and Life Skills,Personal Care,Dressing Skills,Clothing Selection,,The extent to which cognitive endurance can be improved through training and experience.,
Adaptive Functioning and Life Skills,Personal Care,Dressing Skills,Clothing Selection,Seasonal Clothing Choices,"The ability to focus intently on a task, avoiding distractions.",
Adaptive Functioning and Life Skills,Personal Care,Dressing Skills,Clothing Selection,Seasonal Clothing Choices,Layering Techniques,The ability to minimize internal and external distractions to maintain focus on a task.
Adaptive Functioning and Life Skills,Personal Care,Dressing Skills,Fastener Management,,The ability to manage internal thoughts and emotions that could disrupt focus on a task.,
Adaptive Functioning and Life Skills,Personal Care,Dressing Skills,Fastener Management,Adaptive Fasteners,The capacity to block out distracting environmental stimuli.,
Adaptive Functioning and Life Skills,Personal Care,Grooming Skills,,,The ability to sustain mental effort and focus over time.,
Adaptive Functioning and Life Skills,Personal Care,Grooming Skills,Hair Care,,The capacity to maintain focus and performance under varying degrees of mental workload.,
Adaptive Functioning and Life Skills,Personal Care,Grooming Skills,Hair Care,Protective Hairstyles,The ability to stay engaged and maintain performance in a task over long periods.,
Adaptive Functioning and Life Skills,Personal Care,Grooming Skills,Nail Care,,"Adaptive Functioning and Life Skills refer to the practical, social, and conceptual skills that individuals use to function in their everyday lives. These skills enable individuals to meet the demands of daily living, including managing personal care, maintaining a household, navigating a community, engaging in employment, and fulfilling social roles.",
Adaptive Functioning and Life Skills,Personal Care,Grooming Skills,Nail Care,Injury Prevention,"Skills related to self-care and personal hygiene, such as dressing, feeding, and grooming.",
Adaptive Functioning and Life Skills,Household Management,,,,"Skills related to the ability to feed oneself independently, including using utensils and managing portion sizes.",
Adaptive Functioning and Life Skills,Household Management,Cleaning and Organizing,,,The ability to effectively use various eating utensils for different types of food.,
Adaptive Functioning and Life Skills,Household Management,Cleaning and Organizing,Task Scheduling,,Skills related to determining appropriate portion sizes for nutritional balance and personal dietary needs.,
Adaptive Functioning and Life Skills,Household Management,Cleaning and Organizing,Task Scheduling,Digital Calendar Usage,"Skills associated with maintaining cleanliness and grooming, including bathing, tooth brushing, and hair care.",
Adaptive Functioning and Life Skills,Household Management,Cleaning and Organizing,Decluttering Skills,,"The ability to independently perform bathing routines, ensuring cleanliness and safety.",
Adaptive Functioning and Life Skills,Household Management,Cleaning and Organizing,Decluttering Skills,Sentimental Item Management,Skills to recognize and adjust water temperature to prevent burns during bathing.,
Adaptive Functioning and Life Skills,Household Management,Cleaning and Organizing,Decluttering Skills,Sentimental Item Management,Sentimental Value Assessment Techniques,Methods and skills for accurately checking and adjusting water temperature before bathing.
