level_1,level_2,level_3,level_4,level_5,description
Communication and Language,Pragmatic Communication,Social Inference,Intent Recognition,,"The ability to engage in reciprocal communication, including turn-taking, topic maintenance, and appropriate response patterns."
Communication and Language,Non-verbal Communication,,,,The ability to appropriately alternate between speaking and listening roles.
Communication and Language,Non-verbal Communication,Gesture Use and Comprehension,,,The ability to stay on topic and make relevant contributions to conversations.
Communication and Language,Non-verbal Communication,Gesture Use and Comprehension,Symbolic Gesture Use,,The ability to recognize and fix communication breakdowns.
Communication and Language,Non-verbal Communication,Gesture Use and Comprehension,Descriptive Gesture Use,,"The ability to understand implied meaning, humor, sarcasm, and other non-literal aspects of communication."
Communication and Language,Non-verbal Communication,Gesture Use and Comprehension,Gesture Timing,,"The ability to understand metaphors, idioms, and other non-literal expressions."
Communication and Language,Non-verbal Communication,Facial Expression Recognition,,,The ability to accurately interpret emotional states from facial expressions.
Communication and Language,Non-verbal Communication,Facial Expression Recognition,Emotion Recognition,,The ability to understand and appreciate different forms of verbal humor.
Communication and Language,Non-verbal Communication,Facial Expression Recognition,Expression Production,,The ability to understand speakers' underlying intentions and motivations.
Communication and Language,Non-verbal Communication,Facial Expression Recognition,Micro-Expression Detection,,"The ability to identify subtle, brief facial movements that indicate emotions."
Communication and Language,Non-verbal Communication,Proxemics and Body Language,,,"The ability to understand and use non-verbal forms of communication, including gestures, facial expressions, body language, and visual cues."
Communication and Language,Non-verbal Communication,Proxemics and Body Language,Personal Space Management,,The ability to understand and use meaningful gestures and body movements to communicate or enhance communication.
Communication and Language,Non-verbal Communication,Proxemics and Body Language,Posture Communication,,The ability to use and understand conventional gestures and signs.
Communication and Language,Non-verbal Communication,Proxemics and Body Language,Movement Interpretation,,The ability to use gestures to illustrate or complement verbal communication.
Behavioral Control,,,,,The ability to coordinate gestures with speech and social interaction.
Behavioral Control,Impulse Control,,,,The ability to resist immediate urges or impulses
Behavioral Control,Impulse Control,Delayed Gratification,,,The ability to interpret and produce facial expressions to convey and understand emotional states and intentions.
Behavioral Control,Impulse Control,Delayed Gratification,Reward Processing,,The ability to identify basic and complex emotions from facial expressions.
Behavioral Control,Impulse Control,Delayed Gratification,Reward Processing,Reward Magnitude Assessment,The ability to produce appropriate facial expressions to convey emotions.
Behavioral Control,Impulse Control,Delayed Gratification,Reward Processing,Temporal Discounting,The ability to notice and interpret subtle facial cues.
Behavioral Control,Impulse Control,Delayed Gratification,Persistence,,The ability to understand and use appropriate physical spacing and body positioning in social interactions.
Behavioral Control,Impulse Control,Action Restraint,,,The ability to maintain appropriate physical distance in social interactions.
Behavioral Control,Impulse Control,Action Restraint,Response Cancelation,,The ability to understand and use body positioning to convey attitude and attention.
Behavioral Control,Impulse Control,Action Restraint,Response Cancelation,Stop-Signal Processing,The ability to understand meaning conveyed through body movement and positioning.
Behavioral Control,Impulse Control,Action Restraint,Response Cancelation,Motor Cancelation,"The ability to regulate and manage one's behavior in accordance with situational demands, social norms, and personal goals"
Behavioral Control,Impulse Control,Action Restraint,Prepotent Response Control,,"The capacity to resist or inhibit an impulse, drive, or temptation to perform an action"
Behavioral Control,Self-Regulation,,,,"The ability to forgo immediate rewards in favor of later, more valuable outcomes"
Behavioral Control,Self-Regulation,Goal-Directed Regulation,,,The ability to evaluate and compare immediate versus delayed rewards
Behavioral Control,Self-Regulation,Goal-Directed Regulation,Task Persistence,,The ability to evaluate and compare the relative values of different rewards
Behavioral Control,Self-Regulation,Goal-Directed Regulation,Strategy Implementation,,The ability to weigh the value of immediate versus future rewards across different time intervals
Behavioral Control,Self-Regulation,Situational Regulation,,,The ability to maintain self-control over extended periods while waiting for delayed rewards
Behavioral Control,Self-Regulation,Situational Regulation,Context Recognition,,The ability to withhold or prevent an automatic or prepotent response
Behavioral Control,Self-Regulation,Situational Regulation,Behavioral Adjustment,,The ability to stop an already initiated action
Behavioral Control,Response Inhibition,,,,The ability to suppress automatic motor responses
Behavioral Control,Response Inhibition,Interference Control,,,The ability to filter out irrelevant information or distractions
Behavioral Control,Response Inhibition,Interference Control,Distractor Resistance,,The ability to maintain focus despite external distractions
Behavioral Control,Response Inhibition,Interference Control,Distractor Resistance,Sensory Filtering,The ability to detect and process signals indicating the need to stop an action
Behavioral Control,Response Inhibition,Interference Control,Distractor Resistance,Cognitive Interference Resolution,The ability to physically halt an action already in progress
Behavioral Control,Response Inhibition,Interference Control,Cognitive Filtering,,The ability to suppress dominant or automatic behavioral responses
Behavioral Control,Response Inhibition,Motor Inhibition,,,"The ability to monitor and adjust one's behavior, emotions, and cognitive processes to meet environmental demands"
Behavioral Control,Response Inhibition,Motor Inhibition,Fine Motor Control,,The ability to maintain and regulate behavior in pursuit of specific objectives
Behavioral Control,Response Inhibition,Motor Inhibition,Gross Motor Control,,The ability to maintain goal-directed behavior despite challenges or distractions
Behavioral Control,Behavioral Flexibility,,,,The ability to plan and execute appropriate strategies to achieve goals
Behavioral Control,Behavioral Flexibility,Rule Shifting,,,The capacity to adjust behavior based on social and environmental contexts
Behavioral Control,Behavioral Flexibility,Rule Shifting,Rule Learning,,The ability to identify and understand different social and environmental demands
Behavioral Control,Behavioral Flexibility,Rule Shifting,Set Switching,,The ability to modify behavior to match situational requirements
Behavioral Control,Behavioral Flexibility,Adaptive Response,,,The ability to suppress inappropriate or unnecessary behavioral responses and resist interference from irrelevant stimuli
Behavioral Control,Behavioral Flexibility,Adaptive Response,Feedback Processing,,The ability to filter out irrelevant stimuli and maintain focus on relevant information
Behavioral Control,Behavioral Flexibility,Adaptive Response,Feedback Processing,Error Detection,The ability to maintain performance despite the presence of competing stimuli
Behavioral Control,Behavioral Flexibility,Adaptive Response,Feedback Processing,Performance Monitoring,The ability to filter out irrelevant sensory information from different modalities
Behavioral Control,Behavioral Flexibility,Adaptive Response,Response Modification,,The ability to modify emotional responses based on changing circumstances or new information.
Physical Health and Activity,,,,,The ability to maintain focus despite competing mental processes or information
Physical Health and Activity,Motor Function,,,,The ability to selectively process relevant information while ignoring irrelevant information
Physical Health and Activity,Motor Function,Gross Motor Skills,,,The ability to stop or prevent physical actions or movements when required
Physical Health and Activity,Motor Function,Gross Motor Skills,Locomotor Skills,,The ability to inhibit and control precise physical movements
Physical Health and Activity,Motor Function,Gross Motor Skills,Balance and Stability,,The ability to inhibit and control large physical movements
Physical Health and Activity,Motor Function,Gross Motor Skills,Balance and Stability,Static Balance,The capacity to adapt behavior in response to changing environmental conditions or feedback
Physical Health and Activity,Motor Function,Gross Motor Skills,Balance and Stability,Dynamic Balance,The ability to switch between different behavioral rules or response patterns
Physical Health and Activity,Motor Function,Gross Motor Skills,Coordination and Agility,,The ability to learn and understand new behavioral rules or patterns
Physical Health and Activity,Motor Function,Fine Motor Skills,,,The ability to transition between different behavioral sets or rules
Physical Health and Activity,Motor Function,Fine Motor Skills,Hand-Eye Coordination,,The ability to modify behavior based on feedback and changing circumstances
Physical Health and Activity,Motor Function,Fine Motor Skills,Hand-Eye Coordination,Visual Tracking,The ability to interpret and incorporate feedback to adjust behavior
Physical Health and Activity,Motor Function,Fine Motor Skills,Hand-Eye Coordination,Spatial Accuracy,The ability to recognize when behavioral responses are incorrect or inappropriate
Physical Health and Activity,Motor Function,Fine Motor Skills,Manual Dexterity,,The ability to continuously evaluate the effectiveness of behavioral responses
Physical Health and Activity,Motor Function,Fine Motor Skills,Graphomotor Skills,,The ability to implement behavioral changes based on environmental demands
Physical Health and Activity,Motor Function,Motor Planning,,,"The overall state and functionality of physical well-being, including bodily systems, movement capabilities, and engagement in physical activities."
Physical Health and Activity,Motor Function,Motor Planning,Movement Sequencing,,"The ability to control and coordinate body movements, including both gross and fine motor skills."
Physical Health and Activity,Motor Function,Motor Planning,Motor Adaptation,,"The ability to control large muscle movements involving the whole body or major body segments, such as walking, running, and maintaining balance."
Physical Health and Activity,Motor Function,Motor Planning,Movement Anticipation,,"The ability to move the body from one place to another, including walking, running, jumping, and climbing."
Physical Health and Activity,Physical Fitness,,,,The ability to maintain equilibrium and postural control in both static and dynamic situations.
Physical Health and Activity,Physical Fitness,Cardiovascular Endurance,,,The ability to maintain postural control while standing still or holding a position.
Physical Health and Activity,Physical Fitness,Cardiovascular Endurance,Aerobic Capacity,,The ability to maintain postural control during movement or when the base of support is moving.
Physical Health and Activity,Physical Fitness,Cardiovascular Endurance,Cardiac Recovery,,The ability to control multiple body parts simultaneously and change direction quickly and efficiently.
Physical Health and Activity,Physical Fitness,Muscular Strength and Endurance,,,"The ability to make precise movements using small muscles, particularly in the hands and fingers, for activities such as writing, drawing, and manipulating objects."
Physical Health and Activity,Physical Fitness,Flexibility and Range of Motion,,,The ability to coordinate hand movements with visual input for precise manipulation of objects.
Physical Health and Activity,Sleep Regulation,,,,The ability to follow moving objects with the eyes while coordinating hand movements.
Physical Health and Activity,Sleep Regulation,Sleep Onset,,,The precision in reaching and grasping objects in space.
Physical Health and Activity,Sleep Regulation,Sleep Maintenance,,,"The ability to make coordinated hand and finger movements to grasp, manipulate and release objects."
Physical Health and Activity,Sleep Regulation,Sleep-Wake Rhythm,,,The ability to control hand movements for writing and drawing tasks.
Physical Health and Activity,Sensory Integration,,,,"The ability to plan, sequence, and execute novel or complex motor actions in a coordinated manner."
Physical Health and Activity,Sensory Integration,Sensory Processing,,,The ability to organize and perform a series of motor actions in the correct order.
Physical Health and Activity,Sensory Integration,Sensory Processing,Tactile Processing,,The ability to modify motor patterns based on environmental demands and feedback.
Physical Health and Activity,Sensory Integration,Sensory Processing,Vestibular Processing,,The ability to predict and prepare for upcoming motor demands.
Physical Health and Activity,Sensory Integration,Sensory Processing,Proprioceptive Processing,,"The body's overall capacity for physical activity, including strength, endurance, flexibility, and cardiovascular health."
Physical Health and Activity,Sensory Integration,Sensory Modulation,,,"The ability of the heart, lungs, and blood vessels to supply oxygen to muscles during sustained physical activity."
Physical Health and Activity,Sensory Integration,Sensory Modulation,Sensory Threshold Regulation,,The maximum amount of oxygen that can be utilized during intense exercise.
Physical Health and Activity,Sensory Integration,Sensory Modulation,Sensory Filtering,,The ability to detect and process signals indicating the need to stop an action
Physical Health and Activity,Sensory Integration,Sensory Modulation,Sensory Habituation,,The ability of the heart rate to return to baseline after physical exertion.
Physical Health and Activity,Sensory Integration,Sensorimotor Integration,,,The ability of muscles to exert force and maintain activity over time without fatigue.
Physical Health and Activity,Sensory Integration,Sensorimotor Integration,Motor Response Planning,,The ability to move joints through their full range of motion and the elasticity of muscles and connective tissues.
Physical Health and Activity,Sensory Integration,Sensorimotor Integration,Feedback Integration,,"The pattern and quality of sleep-wake cycles, including the ability to initiate and maintain appropriate sleep patterns."
Physical Health and Activity,Energy Level,,,,The ability to initiate sleep at appropriate times and transition from wakefulness to sleep.
Physical Health and Activity,Energy Level,Physical Stamina,,,The ability to maintain continuous sleep throughout the night with minimal disruptions.
Physical Health and Activity,Energy Level,Mental Energy,,,The consistency and regularity of the sleep-wake cycle across days.
Physical Health and Activity,Energy Level,Recovery Capacity,,,"The ability to process, organize, and respond to sensory information from the environment and the body."
Attention and Perception,,,,,"The ability to receive and interpret sensory information from various modalities (visual, auditory, tactile, etc.)."
Attention and Perception,Attention,,,,"The ability to receive and interpret touch sensations, including pressure, texture, temperature, and pain."
Attention and Perception,Attention,Sustained Attention,,,"The ability to process information related to head position, movement, and balance."
Attention and Perception,Attention,Sustained Attention,Task Vigilance,,The ability to process information about body position and movement from muscles and joints.
Attention and Perception,Attention,Sustained Attention,Task Vigilance,Response Consistency,The ability to regulate and organize reactions to sensory input in a graded and adaptive manner.
Attention and Perception,Attention,Sustained Attention,Task Vigilance,Fatigue Resistance,The ability to maintain appropriate responsiveness to sensory stimuli without over- or under-responding.
Attention and Perception,Attention,Sustained Attention,Environmental Monitoring,,The ability to selectively attend to relevant sensory information while filtering out irrelevant input.
Attention and Perception,Attention,Sustained Attention,Environmental Monitoring,Change Detection,The ability to adjust to ongoing sensory stimuli and reduce responses to repeated input.
Attention and Perception,Attention,Sustained Attention,Environmental Monitoring,Sustained Vigilance,The ability to use sensory information to plan and execute motor actions effectively.
Attention and Perception,Attention,Selective Attention,,,The ability to plan appropriate motor responses based on sensory input.
Attention and Perception,Attention,Selective Attention,Signal Detection,,The ability to incorporate sensory feedback during ongoing motor actions.
Attention and Perception,Attention,Selective Attention,Signal Detection,Signal Sensitivity,The general vitality and capacity to sustain physical and mental activity throughout daily activities.
Attention and Perception,Attention,Selective Attention,Signal Detection,Response Criterion,The ability to maintain physical activity and resist fatigue during daily tasks.
Attention and Perception,Attention,Selective Attention,Interference Control,,The ability to filter out irrelevant information or distractions
Attention and Perception,Attention,Selective Attention,Interference Control,Distractor Suppression,The capacity to maintain mental alertness and cognitive effort throughout daily activities.
Attention and Perception,Attention,Selective Attention,Interference Control,Cognitive Filtering,The ability to suppress dominant or automatic behavioral responses
Attention and Perception,Attention,Divided Attention,,,The ability to restore energy levels after periods of exertion or stress.
Attention and Perception,Attention,Divided Attention,Dual-Task Processing,,"The ability to focus on, process, and interpret sensory information from the environment and maintain awareness of relevant stimuli while filtering out irrelevant ones."
Attention and Perception,Attention,Divided Attention,Dual-Task Processing,Task Coordination,"The cognitive process of selectively concentrating on specific aspects of the environment while ignoring others, including the ability to sustain, divide, and shift attention as needed."
Attention and Perception,Attention,Divided Attention,Dual-Task Processing,Resource Allocation,"The ability to maintain focus on a task or stimulus over an extended period of time, also known as vigilance or concentration."
Attention and Perception,Attention,Divided Attention,Multi-Modal Integration,,The ability to maintain consistent performance on repetitive or monotonous tasks over time.
Attention and Perception,Attention,Divided Attention,Multi-Modal Integration,Cross-Modal Processing,The stability and regularity of responses during sustained task performance.
Attention and Perception,Attention,Divided Attention,Multi-Modal Integration,Modality Switching,The ability to maintain performance despite increasing mental fatigue.
Attention and Perception,Attention,Attentional Switching,,,The ability to maintain awareness of changes in the environment over extended periods.
Attention and Perception,Attention,Attentional Switching,Task Switching Speed,,The ability to notice and respond to subtle changes in the environment.
Attention and Perception,Attention,Attentional Switching,Task Switching Speed,Switching Initiation,The ability to maintain alertness to environmental cues over time.
Attention and Perception,Attention,Attentional Switching,Task Switching Speed,Set Reconfiguration,The ability to focus on relevant stimuli while ignoring irrelevant or distracting information in the environment.
Attention and Perception,Attention,Attentional Switching,Switch Cost Management,,The ability to distinguish relevant signals from background noise or distractions.
Attention and Perception,Attention,Attentional Switching,Switch Cost Management,Interference Resolution,The ability to detect weak or subtle target signals.
Attention and Perception,Attention,Attentional Switching,Switch Cost Management,Mental Set Maintenance,The threshold for deciding whether a signal is present or absent.
Attention and Perception,Visual Perception,,,,The ability to maintain focus despite competing stimuli or distractions.
Attention and Perception,Visual Perception,Form Perception,,,The ability to actively inhibit attention to irrelevant stimuli.
Attention and Perception,Visual Perception,Form Perception,Object Recognition,,The ability to screen out irrelevant information at the processing level.
Attention and Perception,Visual Perception,Form Perception,Object Recognition,Feature Detection,The ability to attend to and process multiple tasks or stimuli simultaneously.
Attention and Perception,Visual Perception,Form Perception,Object Recognition,Object Categorization,The ability to perform two distinct tasks simultaneously while maintaining performance.
Attention and Perception,Visual Perception,Form Perception,Pattern Recognition,,The ability to identify and understand abstract patterns and relationships
Attention and Perception,Visual Perception,Form Perception,Pattern Recognition,Pattern Analysis,The ability to efficiently manage and coordinate multiple task demands.
Attention and Perception,Visual Perception,Form Perception,Pattern Recognition,Pattern Completion,The ability to effectively distribute cognitive resources between tasks.
Attention and Perception,Visual Perception,Spatial Perception,,,The ability to process and respond to information from different sensory modalities simultaneously.
Attention and Perception,Visual Perception,Spatial Perception,Depth Perception,,The ability to integrate information across different sensory channels.
Attention and Perception,Visual Perception,Spatial Perception,Depth Perception,Binocular Depth Cues,The ability to rapidly switch attention between different sensory modalities.
Attention and Perception,Visual Perception,Spatial Perception,Depth Perception,Monocular Depth Cues,"The ability to flexibly shift attention between different tasks, stimuli, or mental sets."
Attention and Perception,Visual Perception,Spatial Perception,Spatial Relations,,The efficiency and speed with which one can shift between different tasks or mental sets.
Attention and Perception,Visual Perception,Spatial Perception,Spatial Relations,Mental Rotation,The ability to quickly disengage from one task and initiate another.
Attention and Perception,Visual Perception,Spatial Perception,Spatial Relations,Spatial Organization,The ability to rapidly update task rules and response requirements.
Attention and Perception,Visual Perception,Visual Memory,,,The ability to minimize performance decrements when switching between tasks.
Attention and Perception,Visual Perception,Visual Memory,Short-term Visual Memory,,The ability to resolve conflicts between previous and current task demands.
Attention and Perception,Visual Perception,Visual Memory,Short-term Visual Memory,Visual Span,The ability to maintain multiple task sets in working memory.
Attention and Perception,Visual Perception,Visual Memory,Short-term Visual Memory,Visual Encoding,"The ability to interpret, analyze, and give meaning to visual information, including recognition of objects, spatial relationships, and visual patterns."
Attention and Perception,Visual Perception,Visual Memory,Visual Working Memory,,"The ability to discriminate, recognize, and categorize visual shapes, patterns, and objects."
Attention and Perception,Visual Perception,Visual Memory,Visual Working Memory,Visual Manipulation,The ability to identify and categorize objects based on their visual features.
Attention and Perception,Visual Perception,Visual Memory,Visual Working Memory,Visual Updating,The ability to identify specific visual features of objects.
Attention and Perception,Auditory Perception,,,,The ability to group objects based on shared visual characteristics.
Attention and Perception,Auditory Perception,Auditory Discrimination,,,The ability to detect and understand recurring visual patterns and sequences.
Attention and Perception,Auditory Perception,Auditory Discrimination,Phonemic Processing,,The ability to break down complex patterns into component parts.
Attention and Perception,Auditory Perception,Auditory Discrimination,Phonemic Processing,Phoneme Identification,The ability to identify missing elements in incomplete patterns.
Attention and Perception,Auditory Perception,Auditory Discrimination,Phonemic Processing,Phoneme Differentiation,"The ability to understand spatial relationships, depth, and orientation of objects in the environment."
Attention and Perception,Auditory Perception,Auditory Discrimination,Non-Speech Sound Discrimination,,The ability to perceive and judge distances between objects in three-dimensional space.
Attention and Perception,Auditory Perception,Auditory Discrimination,Non-Speech Sound Discrimination,Pitch Discrimination,The ability to process depth information from both eyes.
Attention and Perception,Auditory Perception,Auditory Discrimination,Non-Speech Sound Discrimination,Temporal Discrimination,The ability to process depth information from single eye cues.
Attention and Perception,Auditory Perception,Auditory Sequencing,,,The ability to understand how objects relate to each other in space.
Attention and Perception,Auditory Perception,Auditory Sequencing,Temporal Order Processing,,The ability to mentally manipulate objects in space.
Attention and Perception,Auditory Perception,Auditory Sequencing,Temporal Order Processing,Sequence Recognition,The ability to understand and represent spatial arrangements.
Attention and Perception,Auditory Perception,Auditory Sequencing,Temporal Order Processing,Order Memory,The ability to retain and recall visual information over various time intervals.
Attention and Perception,Auditory Perception,Auditory Sequencing,Rhythm Processing,,The ability to temporarily maintain visual information for immediate use.
Attention and Perception,Auditory Perception,Auditory Sequencing,Rhythm Processing,Beat Detection,The amount of visual information that can be held in immediate memory.
Attention and Perception,Auditory Perception,Auditory Sequencing,Rhythm Processing,Pattern Integration,The efficiency of storing visual information in short-term memory.
Attention and Perception,Auditory Perception,Auditory Memory,,,The ability to comprehend grammar rules and sentence structure in spoken language.
Attention and Perception,Auditory Perception,Auditory Memory,Short-term Auditory Memory,,The ability to manipulate and process visual information while maintaining it in memory.
Attention and Perception,Auditory Perception,Auditory Memory,Short-term Auditory Memory,Auditory Span,The ability to mentally transform visual information.
Attention and Perception,Auditory Perception,Auditory Memory,Short-term Auditory Memory,Auditory Retention,The ability to update visual information in working memory.
Attention and Perception,Auditory Perception,Auditory Memory,Auditory Working Memory,,"The ability to receive, process, and make meaning of sounds and auditory information, including speech sounds, environmental sounds, and musical elements."
Attention and Perception,Auditory Perception,Auditory Memory,Auditory Working Memory,Auditory Manipulation,"The ability to detect differences between sounds, including pitch, volume, duration, and phonemic differences."
Attention and Perception,Auditory Perception,Auditory Memory,Auditory Working Memory,Auditory Updating,The ability to distinguish between and process individual speech sounds.
Attention and Perception,Sensory Processing,,,,The ability to organize and perform a series of motor actions in the correct order.
Attention and Perception,Sensory Processing,Tactile Processing,,,The ability to modify motor patterns based on environmental demands and feedback.
Attention and Perception,Sensory Processing,Tactile Processing,Tactile Discrimination,,The ability to recognize specific speech sounds.
Attention and Perception,Sensory Processing,Tactile Processing,Tactile Discrimination,Texture Discrimination,The ability to distinguish between similar speech sounds.
Attention and Perception,Sensory Processing,Tactile Processing,Tactile Discrimination,Pressure Discrimination,The ability to distinguish between environmental and musical sounds.
Attention and Perception,Sensory Processing,Tactile Processing,Tactile Localization,,The ability to detect differences in sound frequency.
Attention and Perception,Sensory Processing,Tactile Processing,Tactile Localization,Spatial Resolution,The ability to detect differences in sound duration and timing.
Attention and Perception,Sensory Processing,Tactile Processing,Tactile Localization,Body Mapping,"The ability to process, recall, and reproduce sequences of auditory information."
Attention and Perception,Sensory Processing,Proprioceptive Processing,,,"The body's overall capacity for physical activity, including strength, endurance, flexibility, and cardiovascular health."
Attention and Perception,Sensory Processing,Proprioceptive Processing,Body Position Awareness,,The ability to recognize and remember the order of sounds presented in sequence.
Attention and Perception,Sensory Processing,Proprioceptive Processing,Body Position Awareness,Joint Position Sense,The ability to identify patterns in sound sequences.
Attention and Perception,Sensory Processing,Proprioceptive Processing,Body Position Awareness,Limb Position Awareness,The ability to remember the specific order of sounds.
Attention and Perception,Sensory Processing,Proprioceptive Processing,Movement Planning,,The ability to perceive and process temporal patterns in auditory information.
Attention and Perception,Sensory Processing,Proprioceptive Processing,Movement Planning,Motor Sequencing,The ability to identify regular temporal patterns in sound.
Attention and Perception,Sensory Processing,Proprioceptive Processing,Movement Planning,Force Modulation,The ability to combine temporal elements into rhythmic patterns.
Attention and Perception,Sensory Processing,Vestibular Processing,,,The ability to predict and prepare for upcoming motor demands.
Attention and Perception,Sensory Processing,Vestibular Processing,Balance Processing,,The ability to retain and recall auditory information over various time intervals.
Attention and Perception,Sensory Processing,Vestibular Processing,Balance Processing,Static Balance,The capacity to adapt behavior in response to changing environmental conditions or feedback
Attention and Perception,Sensory Processing,Vestibular Processing,Balance Processing,Dynamic Balance,The ability to switch between different behavioral rules or response patterns
Attention and Perception,Sensory Processing,Vestibular Processing,Motion Processing,,The ability to temporarily maintain auditory information for immediate use.
Attention and Perception,Sensory Processing,Vestibular Processing,Motion Processing,Angular Movement Detection,The amount of auditory information that can be held in immediate memory.
Attention and Perception,Sensory Processing,Vestibular Processing,Motion Processing,Linear Movement Detection,The ability to maintain auditory information accurately.
Adaptive Functioning and Life Skills,,,,,The ability to manipulate and process auditory information while maintaining it in memory.
Adaptive Functioning and Life Skills,Daily Living Skills,,,,The ability to mentally transform auditory information.
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care,,,The ability to update auditory information in working memory.
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care,Hygiene Management,,"The ability to receive, organize, and respond to sensory information from multiple modalities, including tactile, proprioceptive, and vestibular inputs."
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care,Dressing Skills,,"The ability to receive, interpret, and respond to touch sensations, including pressure, texture, temperature, and pain."
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care,Grooming,,The ability to distinguish between different tactile sensations and their characteristics.
Adaptive Functioning and Life Skills,Daily Living Skills,Household Management,,,The ability to distinguish between different surface textures.
Adaptive Functioning and Life Skills,Daily Living Skills,Household Management,Cleaning and Organization,,The ability to distinguish between different levels of applied pressure.
Adaptive Functioning and Life Skills,Daily Living Skills,Household Management,Home Maintenance,,The ability to identify the location of touch sensations on the body.
Adaptive Functioning and Life Skills,Daily Living Skills,Household Management,Laundry Management,,The precision of tactile location identification.
Adaptive Functioning and Life Skills,Daily Living Skills,Meal Management,,,The ability to create accurate mental representations of touch locations.
Adaptive Functioning and Life Skills,Daily Living Skills,Meal Management,Food Planning,,"The ability to process information about body position, movement, and spatial orientation from muscles, joints, and tendons."
Adaptive Functioning and Life Skills,Daily Living Skills,Meal Management,Food Preparation,,The ability to perceive the position of body parts without visual input.
Adaptive Functioning and Life Skills,Daily Living Skills,Meal Management,Kitchen Safety,,The ability to detect the angles and positions of joints.
Adaptive Functioning and Life Skills,Community Navigation,,,,The ability to know where limbs are in space.
Adaptive Functioning and Life Skills,Community Navigation,Transportation Use,,,The ability to coordinate movements based on proprioceptive feedback.
Adaptive Functioning and Life Skills,Community Navigation,Transportation Use,Public Transit Navigation,,The ability to plan and execute sequences of movements.
Adaptive Functioning and Life Skills,Community Navigation,Transportation Use,Route Planning,,The ability to adjust the force of movements appropriately.
Adaptive Functioning and Life Skills,Community Navigation,Transportation Use,Transportation Safety,,"The ability to process information related to head position, movement, and balance from the inner ear system."
Adaptive Functioning and Life Skills,Community Navigation,Community Resource Utilization,,,The ability to maintain postural control and equilibrium.
Adaptive Functioning and Life Skills,Community Navigation,Community Resource Utilization,Service Location,,The ability to maintain stability while stationary.
Adaptive Functioning and Life Skills,Community Navigation,Community Resource Utilization,Resource Management,,The ability to maintain stability during movement.
Adaptive Functioning and Life Skills,Safety Awareness,,,,The ability to process and adapt to changes in head position and movement.
Adaptive Functioning and Life Skills,Safety Awareness,Risk Recognition,,,The ability to detect rotational head movements.
Adaptive Functioning and Life Skills,Safety Awareness,Risk Recognition,Environmental Hazard Recognition,,The ability to detect straight-line head movements.
Adaptive Functioning and Life Skills,Safety Awareness,Risk Recognition,Social Risk Assessment,,"The ability to effectively manage daily activities, meet environmental demands, and function independently in various life domains"
Adaptive Functioning and Life Skills,Safety Awareness,Emergency Response,,,The ability to perform routine self-care and daily maintenance tasks necessary for independent living
Adaptive Functioning and Life Skills,Safety Awareness,Emergency Response,Emergency Protocol Following,,"The ability to maintain personal hygiene, grooming, and appropriate dress"
Adaptive Functioning and Life Skills,Safety Awareness,Emergency Response,Help-Seeking,,"The ability to perform basic hygiene tasks such as bathing, dental care, and toileting"
Adaptive Functioning and Life Skills,Time Management,,,,The ability to organize and prioritize tasks within time constraints
Adaptive Functioning and Life Skills,Time Management,Schedule Planning,,,The ability to select and put on weather-appropriate and situation-appropriate clothing
Adaptive Functioning and Life Skills,Time Management,Schedule Planning,Calendar Management,,"The ability to maintain appearance through tasks like hair care, nail care, and skin care"
Adaptive Functioning and Life Skills,Time Management,Schedule Planning,Routine Development,,"The ability to maintain living space, perform household chores, and manage basic home responsibilities"
Adaptive Functioning and Life Skills,Time Management,Task Prioritization,,,The ability to determine task importance and urgency
Adaptive Functioning and Life Skills,Time Management,Task Prioritization,Task Organization,,The ability to maintain cleanliness and order in living spaces
Adaptive Functioning and Life Skills,Time Management,Task Prioritization,Time Estimation,,The ability to accurately estimate time needed for task completion
Adaptive Functioning and Life Skills,Financial Management,,,,The ability to identify and address basic household repairs and maintenance needs
Adaptive Functioning and Life Skills,Financial Management,Money Handling,,,"The ability to clean, dry, and maintain clothing and linens"
Adaptive Functioning and Life Skills,Financial Management,Money Handling,Currency Recognition,,"The ability to plan, prepare, and manage nutritional needs and food-related tasks"
Adaptive Functioning and Life Skills,Financial Management,Money Handling,Transaction Processing,,The ability to plan meals and create shopping lists
Adaptive Functioning and Life Skills,Financial Management,Budgeting,,,The ability to safely prepare and cook meals using appropriate kitchen tools
Adaptive Functioning and Life Skills,Financial Management,Budgeting,Expense Tracking,,The ability to safely use kitchen appliances and maintain food safety practices
Adaptive Functioning and Life Skills,Financial Management,Budgeting,Financial Planning,,The ability to effectively navigate and utilize community resources and public spaces
Adaptive Functioning and Life Skills,Financial Management,Budgeting,Financial Planning,Long-term Financial Planning,The ability to use various forms of transportation and navigate from place to place
Adaptive Functioning and Life Skills,Financial Management,Budgeting,Financial Planning,Emergency Fund Management,The ability to use and navigate public transportation systems
Adaptive Functioning and Life Skills,Social Problem Solving,,,,The ability to recognize that others can hold beliefs that are different from reality
Adaptive Functioning and Life Skills,Social Problem Solving,Conflict Resolution,,,"The ability to form, maintain, and navigate various types of interpersonal relationships"
Adaptive Functioning and Life Skills,Social Problem Solving,Conflict Resolution,Perspective Taking,,The ability to show active engagement and appropriate responses while listening
