level_1,level_2,level_3,level_4,level_5,level_6,level_7,description
Communication and Language,Receptive Language,Auditory Comprehension,Semantic Understanding,Vocabulary Comprehension,,,The ability to generate words that rhyme with a given word
Communication and Language,Receptive Language,Auditory Comprehension,Semantic Understanding,Vocabulary Comprehension,Word Definition Recognition,,The ability to recognize and categorize different rhyming patterns
Communication and Language,Receptive Language,Auditory Comprehension,Semantic Understanding,Vocabulary Comprehension,Context-Based Understanding,,The ability to understand word meanings and relationships between concepts in spoken language
Communication and Language,Receptive Language,Auditory Comprehension,Semantic Understanding,Vocabulary Comprehension,Multiple Meaning Recognition,,The ability to understand the meaning of individual words in context
Communication and Language,Receptive Language,Auditory Comprehension,Semantic Understanding,Conceptual Relationships,,,The ability to understand and identify the correct meaning of words
Communication and Language,Receptive Language,Auditory Comprehension,Semantic Understanding,Conceptual Relationships,Analogical Reasoning,,The ability to identify and apply relationships between concepts
Communication and Language,Receptive Language,Auditory Comprehension,Semantic Understanding,Conceptual Relationships,Cause-Effect Understanding,,The ability to derive word meanings from surrounding context
Communication and Language,Receptive Language,Auditory Comprehension,Semantic Understanding,Conceptual Relationships,Abstract Concept Relations,,The ability to understand words with multiple meanings based on context
Communication and Language,Receptive Language,Auditory Comprehension,Semantic Understanding,Categorical Understanding,,,The ability to understand connections and associations between different concepts
Communication and Language,Receptive Language,Auditory Comprehension,Semantic Understanding,Categorical Understanding,Category Classification,,The ability to understand relationships between pairs of concepts and apply them to new situations
Communication and Language,Receptive Language,Auditory Comprehension,Semantic Understanding,Categorical Understanding,Hierarchical Organization,,The ability to comprehend causal relationships between concepts and events
Communication and Language,Receptive Language,Auditory Comprehension,Semantic Understanding,Categorical Understanding,Category Flexibility,,The ability to understand relationships between abstract or complex concepts
Communication and Language,Receptive Language,Auditory Comprehension,Syntactic Processing,,,,The ability to recognize and understand hierarchical relationships between words and concepts
Communication and Language,Receptive Language,Auditory Comprehension,Syntactic Processing,Grammar Comprehension,,,The ability to group items based on shared characteristics or attributes
Communication and Language,Receptive Language,Auditory Comprehension,Syntactic Processing,Sentence Structure Analysis,,,The ability to understand superordinate and subordinate relationships between concepts
Communication and Language,Receptive Language,Auditory Comprehension,Syntactic Processing,Temporal Sequencing,,,The ability to recognize that items can belong to multiple categories
Communication and Language,Receptive Language,Reading Comprehension,,,,,The ability to understand grammatical structures and sentence organization in spoken language
Communication and Language,Receptive Language,Reading Comprehension,Word Recognition,,,,The ability to understand grammatical rules and their application in sentences
Communication and Language,Receptive Language,Reading Comprehension,Text Analysis,,,,The ability to process and understand complex sentence structures
Communication and Language,Receptive Language,Reading Comprehension,Reading Fluency,,,,The ability to understand the order and timing of events described in speech
Communication and Language,Receptive Language,Sign Language Reception,,,,,The ability to understand and interpret written text and written communication
Communication and Language,Receptive Language,Sign Language Reception,Manual Sign Recognition,,,,The ability to identify and decode written words accurately
Communication and Language,Receptive Language,Sign Language Reception,Spatial-Sequential Processing,,,,The ability to understand relationships between ideas and extract meaning from written text
Communication and Language,Receptive Language,Sign Language Reception,Non-manual Signal comprehension,,,,"The ability to read text accurately, quickly, and with appropriate expression"
Communication and Language,Expressive Language,,,,,,The ability to understand and process sign language and manual communication systems
Communication and Language,Expressive Language,Verbal Expression,,,,,"The ability to communicate emotions through spoken language, including vocabulary use, tone of voice, and verbal descriptions of emotional experiences."
Communication and Language,Expressive Language,Verbal Expression,Speech Production,,,,The ability to recognize and interpret individual signs and hand formations
Communication and Language,Expressive Language,Verbal Expression,Word Finding,,,,The ability to process and understand sequences of signs and their spatial relationships
Communication and Language,Expressive Language,Verbal Expression,Sentence Formation,,,,The ability to understand facial expressions and body movements that accompany sign language
Communication and Language,Expressive Language,Written Expression,,,,,"The ability to convey thoughts, needs, and ideas through spoken, written, or signed language"
Communication and Language,Expressive Language,Written Expression,Spelling,,,,The ability to communicate thoughts and ideas through spoken language
Communication and Language,Expressive Language,Written Expression,Written Organization,,,,The ability to produce clear and accurate speech sounds
Communication and Language,Expressive Language,Written Expression,Written Fluency,,,,The ability to retrieve and use appropriate vocabulary in speech
Communication and Language,Expressive Language,Sign Language Production,,,,,The ability to construct grammatically correct and meaningful sentences
Communication and Language,Expressive Language,Sign Language Production,Manual Sign Production,,,,The ability to communicate thoughts and ideas through written language
Communication and Language,Expressive Language,Sign Language Production,Sign Sequencing,,,,The ability to write words correctly according to standard conventions
Communication and Language,Expressive Language,Sign Language Production,Non-manual Expression,,,,The ability to structure and organize written content effectively
Communication and Language,Pragmatic Communication,,,,,,The ability to produce written content efficiently and smoothly
Communication and Language,Pragmatic Communication,Social Context Understanding,,,,,"The mental processes involved in perceiving, interpreting, and responding to social situations and others' behaviors, including theory of mind and social perspective-taking"
Communication and Language,Pragmatic Communication,Social Context Understanding,Audience Adaptation,,,,The ability to communicate thoughts and ideas through sign language and manual communication systems
Communication and Language,Pragmatic Communication,Social Context Understanding,Context Recognition,,,,The ability to form and produce individual signs accurately
Communication and Language,Pragmatic Communication,Social Context Understanding,Cultural Awareness,,,,The ability to combine signs in appropriate sequences and spatial arrangements
Communication and Language,Pragmatic Communication,Conversation Skills,,,,,The ability to incorporate appropriate facial expressions and body movements in signing
Communication and Language,Pragmatic Communication,Conversation Skills,Turn-Taking,,,,The ability to use language appropriately in social contexts and understand the social rules of communication
Communication and Language,Pragmatic Communication,Conversation Skills,Topic Maintenance,,,,"The ability to introduce new, contextually appropriate conversation topics"
Communication and Language,Pragmatic Communication,Conversation Skills,Repair Strategies,,,,The ability to understand and adapt communication based on social situations and contexts
Communication and Language,Pragmatic Communication,Social Communication Rules,,,,,The ability to modify communication style based on the listener or audience
Communication and Language,Pragmatic Communication,Social Communication Rules,Social Inference,,,,The ability to recognize and respond to different social and environmental contexts
Communication and Language,Pragmatic Communication,Social Communication Rules,Communication Etiquette,,,,The ability to understand and respect cultural differences in communication
Communication and Language,Pragmatic Communication,Social Communication Rules,Perspective Taking,,,,"The ability to identify, analyze, and resolve social conflicts and challenges"
Communication and Language,Non-verbal Communication,,,,,,The ability to engage in reciprocal communication and maintain appropriate conversation flow
Communication and Language,Non-verbal Communication,Facial Expression,,,,,The ability to alternate between speaking and listening roles in conversation
Communication and Language,Non-verbal Communication,Facial Expression,Emotion Recognition,,,,The ability to stay on topic and make relevant contributions to conversation
Communication and Language,Non-verbal Communication,Facial Expression,Facial Affect Production,,,,The ability to recognize and fix communication breakdowns
Communication and Language,Non-verbal Communication,Facial Expression,Micro-Expression Processing,,,,The understanding and application of implicit social rules and conventions in communication
Communication and Language,Non-verbal Communication,Body Language,,,,,The ability to understand implied meanings and make appropriate social interpretations
Communication and Language,Non-verbal Communication,Body Language,Gesture Use,,,,The ability to follow appropriate social rules and politeness conventions
Communication and Language,Non-verbal Communication,Body Language,Postural Communication,,,,The ability to express emotional states through appropriate body posture and stance.
Communication and Language,Non-verbal Communication,Body Language,Physical Distance,,,,The ability to consider and understand others' viewpoints in communication
Communication and Language,Non-verbal Communication,Paralinguistic Features,,,,,"The ability to use and interpret body language, facial expressions, gestures, and other non-verbal cues"
Communication and Language,Non-verbal Communication,Paralinguistic Features,Prosody Perception,,,,The ability to produce and interpret facial expressions to convey and understand emotions and intentions
Communication and Language,Non-verbal Communication,Paralinguistic Features,Voice Modulation,,,,The ability to accurately identify emotions from facial expressions
Communication and Language,Non-verbal Communication,Paralinguistic Features,Vocal Affect,,,,The ability to produce appropriate facial expressions to convey emotions
Behavioral Control,,,,,,,The ability to detect and interpret subtle facial cues and brief expressions
Behavioral Control,Impulse Control,,,,,,The ability to suppress or moderate immediate emotional reactions and impulses in favor of more appropriate responses.
Behavioral Control,Impulse Control,Delayed Gratification,,,,,"The ability to use and understand posture, gestures, and physical movements in communication"
Behavioral Control,Impulse Control,Delayed Gratification,Reward Processing,,,,The ability to use and understand meaningful hand and body gestures
Behavioral Control,Impulse Control,Delayed Gratification,Reward Processing,Reward Magnitude Assessment,,,The ability to use and interpret body posture and orientation
Behavioral Control,Impulse Control,Delayed Gratification,Reward Processing,Temporal Discounting,,,The ability to maintain appropriate physical space and distance in social interactions
Behavioral Control,Impulse Control,Delayed Gratification,Patience Maintenance,,,,"The ability to use and understand tone of voice, volume, and other vocal qualities that accompany speech"
Behavioral Control,Impulse Control,Delayed Gratification,Patience Maintenance,Distress Tolerance,,,The ability to understand emotional and linguistic meaning from vocal tone and rhythm
Behavioral Control,Impulse Control,Delayed Gratification,Patience Maintenance,Attention Regulation,,,"The ability to control and adjust voice volume, pitch, and speed appropriately"
Behavioral Control,Impulse Control,Action Restraint,,,,,The ability to express and interpret emotional states through voice quality
Behavioral Control,Impulse Control,Action Restraint,Stimulus Recognition,,,,"The ability to regulate, manage, and control one's behavior in accordance with situational demands and social expectations"
Behavioral Control,Impulse Control,Action Restraint,Stimulus Recognition,Environmental Cue Detection,,,"The ability to resist or delay immediate urges, desires, and impulses in favor of more appropriate or long-term beneficial behaviors"
Behavioral Control,Impulse Control,Action Restraint,Stimulus Recognition,Social Cue Recognition,,,"The ability to postpone immediate rewards in favor of later, more valuable outcomes"
Behavioral Control,Impulse Control,Action Restraint,Response Prevention,,,,The ability to evaluate and compare immediate versus delayed rewards
Behavioral Control,Impulse Control,Action Restraint,Response Prevention,Prepotent Response Inhibition,,,The ability to evaluate and compare the relative values of different rewards
Behavioral Control,Impulse Control,Action Restraint,Response Prevention,Alternative Response Generation,,,The ability to weigh the value of rewards across different time delays
Behavioral Control,Self-Regulation,,,,,,The ability to sustain waiting behavior during delay periods
Behavioral Control,Self-Regulation,Goal-Directed Regulation,,,,,The ability to cope with frustration during waiting periods
Behavioral Control,Self-Regulation,Goal-Directed Regulation,Progress Monitoring,,,,The ability to direct attention away from immediate temptations during waiting periods
Behavioral Control,Self-Regulation,Goal-Directed Regulation,Progress Monitoring,Performance Evaluation,,,The ability to withhold or stop an action before it begins when presented with triggering stimuli
Behavioral Control,Self-Regulation,Goal-Directed Regulation,Progress Monitoring,Goal Distance Assessment,,,The ability to identify situations requiring behavioral restraint
Behavioral Control,Self-Regulation,Goal-Directed Regulation,Behavioral Persistence,,,,The ability to detect relevant environmental signals that indicate the need for behavioral restraint
Behavioral Control,Self-Regulation,Goal-Directed Regulation,Behavioral Persistence,Effort Maintenance,,,The ability to recognize social signals that indicate the need for behavioral restraint
Behavioral Control,Self-Regulation,Goal-Directed Regulation,Behavioral Persistence,Obstacle Management,,,The ability to prevent automatic or habitual responses to triggers
Behavioral Control,Self-Regulation,Situational Adaptation,,,,,The ability to suppress dominant or automatic behavioral responses
Behavioral Control,Self-Regulation,Situational Adaptation,Context Recognition,,,,The ability to form and produce individual signs accurately
Behavioral Control,Self-Regulation,Situational Adaptation,Context Recognition,Social Context Analysis,,,The ability to generate appropriate alternative behaviors when preventing automatic responses
Behavioral Control,Self-Regulation,Situational Adaptation,Context Recognition,Environmental Assessment,,,"The capacity to monitor and adjust one's behavior, emotions, and cognitive processes to meet environmental demands and personal goals"
Behavioral Control,Self-Regulation,Situational Adaptation,Behavioral Adjustment,,,,The ability to maintain and regulate behavior in service of achieving specific objectives
Behavioral Control,Self-Regulation,Situational Adaptation,Behavioral Adjustment,Response Calibration,,,The ability to track behavioral progress toward goals
Behavioral Control,Self-Regulation,Situational Adaptation,Behavioral Adjustment,Behavioral Timing,,,The ability to assess current behavior against goal standards
Behavioral Control,Response Inhibition,,,,,,The ability to suppress automatic or prepotent responses
Behavioral Control,Response Inhibition,Motor Inhibition,,,,,The ability to suppress or stop planned physical actions
Behavioral Control,Response Inhibition,Motor Inhibition,Movement Control,,,,The ability to evaluate how far one is from achieving the desired goal
Behavioral Control,Response Inhibition,Motor Inhibition,Movement Control,Fine Motor Control,,,The ability to maintain goal-directed behavior despite challenges or distractions
Behavioral Control,Response Inhibition,Motor Inhibition,Movement Control,Gross Motor Control,,,The ability to sustain behavioral effort over time
Behavioral Control,Response Inhibition,Motor Inhibition,Motor Timing,,,,The ability to overcome barriers while maintaining goal-directed behavior
Behavioral Control,Response Inhibition,Motor Inhibition,Motor Timing,Movement Initiation Timing,,,The ability to modify behavior based on environmental and social context
Behavioral Control,Response Inhibition,Motor Inhibition,Motor Timing,Movement Cessation Timing,,,The ability to identify and understand different environmental and social demands
Behavioral Control,Response Inhibition,Interference Control,,,,,The ability to filter out irrelevant information and maintain focus on relevant information
Behavioral Control,Response Inhibition,Interference Control,Distractor Resistance,,,,The ability to maintain focus despite external distractions
Behavioral Control,Response Inhibition,Interference Control,Distractor Resistance,External Distractor Management,,,The ability to understand social norms and expectations in different situations
Behavioral Control,Response Inhibition,Interference Control,Distractor Resistance,Internal Distractor Management,,,The ability to evaluate physical and temporal aspects of different situations
Behavioral Control,Response Inhibition,Interference Control,Response Selection,,,,The ability to modify actions to match situational requirements
Behavioral Control,Response Inhibition,Interference Control,Response Selection,Response Discrimination,,,The ability to adjust the intensity and nature of behavioral responses
Behavioral Control,Response Inhibition,Interference Control,Response Selection,Competing Response Management,,,The ability to coordinate the timing of behavioral adjustments with situational demands
Behavioral Control,Behavioral Flexibility,,,,,,The ability to suppress inappropriate or unnecessary behavioral responses in favor of more appropriate ones
Behavioral Control,Behavioral Flexibility,Rule Shifting,,,,,The ability to stop or suppress ongoing physical movements when necessary
Behavioral Control,Behavioral Flexibility,Rule Shifting,Rule Learning,,,,The ability to identify and apply general rules and principles
Behavioral Control,Behavioral Flexibility,Rule Shifting,Rule Learning,Rule Comprehension,,,The ability to control fine and gross motor movements in response to stop signals
Behavioral Control,Behavioral Flexibility,Rule Shifting,Rule Learning,Rule Integration,,,"The ability to inhibit and control small, precise movements"
Behavioral Control,Behavioral Flexibility,Rule Shifting,Set Switching,,,,The ability to inhibit and control large body movements
Behavioral Control,Behavioral Flexibility,Rule Shifting,Set Switching,Cognitive Set Release,,,The ability to coordinate the timing of movement initiation and cessation
Behavioral Control,Behavioral Flexibility,Rule Shifting,Set Switching,New Set Engagement,,,The ability to time the start of motor responses appropriately
Behavioral Control,Behavioral Flexibility,Strategic Adaptation,,,,,The ability to time the stopping of motor responses appropriately
Behavioral Control,Behavioral Flexibility,Strategic Adaptation,Feedback Processing,,,,The ability to filter out irrelevant stimuli and maintain appropriate behavioral responses
Behavioral Control,Behavioral Flexibility,Strategic Adaptation,Feedback Processing,Feedback Recognition,,,The ability to maintain appropriate behavior despite competing stimuli
Behavioral Control,Behavioral Flexibility,Strategic Adaptation,Feedback Processing,Feedback Integration,,,The ability to maintain behavior despite environmental distractions
Behavioral Control,Behavioral Flexibility,Strategic Adaptation,Strategy Implementation,,,,The ability to effectively utilize available support systems and resources.
Behavioral Control,Behavioral Flexibility,Strategic Adaptation,Strategy Implementation,Strategy Planning,,,"The ability to maintain behavior despite internal distractions (thoughts, urges)"
Behavioral Control,Behavioral Flexibility,Strategic Adaptation,Strategy Implementation,Strategy Execution,,,The ability to choose appropriate coping strategies for specific situations.
Physical Health and Activity,,,,,,,The ability to choose appropriate responses while suppressing competing inappropriate ones
Physical Health and Activity,Motor Function,,,,,,The ability to distinguish between appropriate and inappropriate behavioral responses
Physical Health and Activity,Motor Function,Gross Motor Skills,,,,,The ability to manage multiple competing behavioral response options
Physical Health and Activity,Motor Function,Gross Motor Skills,Balance and Stability,,,,The ability to adapt behavior in response to changing environmental demands or circumstances
Physical Health and Activity,Motor Function,Gross Motor Skills,Balance and Stability,Static Balance,,,The ability to adjust behavior when rules or requirements change
Physical Health and Activity,Motor Function,Gross Motor Skills,Balance and Stability,Dynamic Balance,,,The ability to understand and internalize new behavioral rules
Physical Health and Activity,Motor Function,Gross Motor Skills,Balance and Stability,Postural Control,,,The ability to understand the content and implications of new behavioral rules
Physical Health and Activity,Motor Function,Gross Motor Skills,Locomotion,,,,The ability to incorporate new rules into existing behavioral repertoires
Physical Health and Activity,Motor Function,Gross Motor Skills,Locomotion,Gait Pattern,,,The ability to transition between different behavioral rules or sets
Physical Health and Activity,Motor Function,Gross Motor Skills,Locomotion,Speed Control,,,The ability to disengage from previous behavioral rules
Physical Health and Activity,Motor Function,Gross Motor Skills,Locomotion,Terrain Navigation,,,The ability to engage with and implement new behavioral rules
Physical Health and Activity,Motor Function,Gross Motor Skills,Object Control,,,,The ability to modify behavioral strategies based on feedback and changing circumstances
Physical Health and Activity,Motor Function,Gross Motor Skills,Object Control,Throwing,,,The ability to interpret and incorporate feedback to adjust behavior
Physical Health and Activity,Motor Function,Gross Motor Skills,Object Control,Catching,,,The ability to identify and understand behavioral feedback signals
Physical Health and Activity,Motor Function,Gross Motor Skills,Object Control,Kicking,,,The ability to incorporate feedback into behavioral adjustments
Physical Health and Activity,Motor Function,Fine Motor Skills,,,,,The ability to execute modified behavioral strategies effectively
Physical Health and Activity,Motor Function,Fine Motor Skills,Manual Dexterity,,,,The ability to plan new behavioral approaches based on feedback
Physical Health and Activity,Motor Function,Fine Motor Skills,Manual Dexterity,Finger Manipulation,,,The ability to implement planned behavioral changes effectively
Physical Health and Activity,Motor Function,Fine Motor Skills,Manual Dexterity,Hand-Object Manipulation,,,"Overall physical well-being, bodily function, and engagement in physical activities"
Physical Health and Activity,Motor Function,Fine Motor Skills,Manual Dexterity,Bilateral Hand Coordination,,,"Ability to control and coordinate body movements, including gross and fine motor skills"
Physical Health and Activity,Motor Function,Fine Motor Skills,Visual-Motor Integration,,,,Control and coordination of large muscle groups for whole-body movements
Physical Health and Activity,Motor Function,Fine Motor Skills,Visual-Motor Integration,Hand-Eye Coordination,,,Ability to maintain body position and equilibrium in static and dynamic situations
Physical Health and Activity,Motor Function,Fine Motor Skills,Visual-Motor Integration,Visual Tracking,,,Ability to maintain equilibrium while staying still or holding a position
Physical Health and Activity,Motor Function,Fine Motor Skills,Visual-Motor Integration,Spatial Relations,,,Ability to maintain equilibrium while moving or responding to changes
Physical Health and Activity,Motor Function,Fine Motor Skills,Grip Strength,,,,Ability to maintain appropriate body alignment and adjust posture
Physical Health and Activity,Motor Function,Motor Planning,,,,,"Ability to move from one place to another through walking, running, climbing, etc."
Physical Health and Activity,Motor Function,Motor Planning,Movement Sequencing,,,,Characteristics and quality of walking movement
Physical Health and Activity,Motor Function,Motor Planning,Motor Learning,,,,Ability to modulate movement velocity appropriate to task demands
Physical Health and Activity,Motor Function,Motor Planning,Motor Adaptation,,,,Ability to adapt movement across different surfaces and environments
Physical Health and Activity,Physical Fitness,,,,,,Ability to manipulate and control objects using large muscle groups
Physical Health and Activity,Physical Fitness,Cardiovascular Fitness,,,,,Ability to project objects with accuracy and appropriate force
Physical Health and Activity,Physical Fitness,Cardiovascular Fitness,Aerobic Capacity,,,,Ability to receive and control moving objects
Physical Health and Activity,Physical Fitness,Cardiovascular Fitness,Heart Rate Recovery,,,,Ability to strike objects with lower extremities
Physical Health and Activity,Physical Fitness,Cardiovascular Fitness,Cardiovascular Endurance,,,,"Control and coordination of small muscle movements, typically involving hand-eye coordination"
Physical Health and Activity,Physical Fitness,Muscular Capacity,,,,,Skilled and precise finger and hand movements
Physical Health and Activity,Physical Fitness,Muscular Capacity,Muscle Strength,,,,Precise control and movement of individual fingers
Physical Health and Activity,Physical Fitness,Muscular Capacity,Muscle Endurance,,,,Ability to handle and manipulate objects with controlled hand movements
Physical Health and Activity,Physical Fitness,Muscular Capacity,Power Output,,,,Ability to coordinate both hands effectively in tasks
Physical Health and Activity,Physical Fitness,Flexibility,,,,,Coordination between visual perception and finger/hand movements
Physical Health and Activity,Physical Fitness,Flexibility,Static Flexibility,,,,Ability to synchronize hand movements with visual input
Physical Health and Activity,Physical Fitness,Flexibility,Dynamic Flexibility,,,,Ability to follow moving objects with eyes while maintaining hand position
Physical Health and Activity,Physical Fitness,Flexibility,Joint Mobility,,,,Understanding and manipulating spatial relationships between hands and objects
Physical Health and Activity,Sleep Patterns,,,,,,Ability to grasp and maintain hold on objects
Physical Health and Activity,Sleep Patterns,Sleep Duration,,,,,"Ability to plan, sequence, and execute novel or complex motor actions"
Physical Health and Activity,Sleep Patterns,Sleep Quality,,,,,Ability to order and combine individual movements into meaningful patterns
Physical Health and Activity,Sleep Patterns,Sleep Quality,Sleep Continuity,,,,Ability to acquire and refine new motor skills through practice
Physical Health and Activity,Sleep Patterns,Sleep Quality,Sleep Architecture,,,,Ability to modify motor responses based on environmental demands
Physical Health and Activity,Sleep Patterns,Sleep Quality,Sleep Efficiency,,,,"Overall physical condition including strength, endurance, flexibility, and cardiovascular health"
Physical Health and Activity,Sleep Patterns,Circadian Rhythm,,,,,"Efficiency of heart, lungs, and blood vessels in delivering oxygen during physical activity"
Physical Health and Activity,Sleep Patterns,Circadian Rhythm,Sleep-Wake Timing,,,,Maximum ability to perform sustained cardiovascular exercise
Physical Health and Activity,Sleep Patterns,Circadian Rhythm,Circadian Alignment,,,,Speed at which heart rate returns to baseline after exercise
Physical Health and Activity,Sleep Patterns,Circadian Rhythm,Diurnal Variation,,,,Ability to maintain cardiovascular activity over extended periods
Physical Health and Activity,Energy Level,,,,,,Combined attributes of muscle strength and endurance
Physical Health and Activity,Energy Level,Physical Stamina,,,,,Maximum force that can be generated by specific muscle groups
Physical Health and Activity,Energy Level,Mental Energy,,,,,Ability of muscles to sustain repeated contractions over time
Physical Health and Activity,Physical Health Status,,,,,,Ability to generate force quickly in explosive movements
Physical Health and Activity,Physical Health Status,Immune Function,,,,,Range of motion in joints and muscles
Physical Health and Activity,Physical Health Status,Immune Function,Immune Response,,,,"Range of motion achieved through slow, controlled stretching"
Physical Health and Activity,Physical Health Status,Immune Function,Recovery Rate,,,,Range of motion during active movement
Physical Health and Activity,Physical Health Status,Immune Function,Immune Resilience,,,,Freedom of movement within specific joints
Physical Health and Activity,Physical Health Status,Body Systems Function,,,,,"Quality, duration, and regulation of sleep-wake cycles"
Physical Health and Activity,Physical Health Status,Body Systems Function,Respiratory Function,,,,Total amount of sleep obtained within a 24-hour period
Physical Health and Activity,Physical Health Status,Body Systems Function,Respiratory Function,Breathing Pattern,,,"Characteristics of sleep including continuity, depth, and restfulness"
Physical Health and Activity,Physical Health Status,Body Systems Function,Respiratory Function,Respiratory Capacity,,,Ability to maintain uninterrupted sleep throughout the night
Physical Health and Activity,Physical Health Status,Body Systems Function,Respiratory Function,Respiratory Control,,,Distribution and patterns of sleep stages throughout the night
Physical Health and Activity,Physical Health Status,Body Systems Function,Digestive Function,,,,Ratio of time spent asleep to time spent in bed
Physical Health and Activity,Physical Health Status,Body Systems Function,Digestive Function,Nutrient Absorption,,,Regulation and timing of sleep-wake cycles
Physical Health and Activity,Physical Health Status,Body Systems Function,Digestive Function,Digestive Comfort,,,Consistency and appropriateness of sleep and wake times
Physical Health and Activity,Physical Health Status,Body Systems Function,Digestive Function,Gut Motility,,,Synchronization of internal biological clock with environmental cues
Physical Health and Activity,Physical Health Status,Body Systems Function,Sensory Processing,,,,Pattern of alertness and sleepiness throughout the day
Physical Health and Activity,Physical Health Status,Body Systems Function,Sensory Processing,Sensory Integration,,,Overall vitality and capacity for sustained physical and mental activity throughout the day
Physical Health and Activity,Physical Health Status,Body Systems Function,Sensory Processing,Sensory Threshold,,,Ability to maintain physical activity over extended periods
Physical Health and Activity,Physical Health Status,Body Systems Function,Sensory Processing,Sensory Discrimination,,,Capacity to maintain mental alertness and cognitive effort throughout the day
Physical Health and Activity,Physical Health Status,Physical Comfort,,,,,"General health condition including immune function, presence of illness or medical conditions"
Physical Health and Activity,Physical Health Status,Physical Comfort,Pain Perception,,,,Body's ability to resist and recover from illness
Physical Health and Activity,Physical Health Status,Physical Comfort,Pain Tolerance,,,,Effectiveness of the immune system in responding to threats
Physical Health and Activity,Physical Health Status,Physical Comfort,Physical Well-being,,,,Speed and completeness of recovery from illness or injury
Attention and Perception,,,,,,,Ability to maintain immune function under stress or environmental challenges
Attention and Perception,Attention,,,,,,"Overall functioning of major body systems (digestive, respiratory, etc.)"
Attention and Perception,Attention,Sustained Attention,,,,,Efficiency of breathing and oxygen exchange
Attention and Perception,Attention,Sustained Attention,Vigilance,,,,Regularity and effectiveness of respiratory cycles
Attention and Perception,Attention,Sustained Attention,Vigilance,Signal Detection,,,Volume and efficiency of air exchange in lungs
Attention and Perception,Attention,Sustained Attention,Vigilance,Sustained Alertness,,,Ability to regulate breathing rate and depth
Attention and Perception,Attention,Sustained Attention,Task Persistence,,,,Ability to process and extract nutrients from food
Attention and Perception,Attention,Sustained Attention,Task Persistence,Mental Fatigue Resistance,,,Efficiency of nutrient uptake from digestive system
Attention and Perception,Attention,Sustained Attention,Task Persistence,Goal Maintenance,,,Absence of digestive distress or discomfort
Attention and Perception,Attention,Selective Attention,,,,,Proper movement of food through digestive tract
Attention and Perception,Attention,Selective Attention,Visual Selective Attention,,,,Integration and processing of sensory information from the environment
Attention and Perception,Attention,Selective Attention,Visual Selective Attention,Feature-Based Selection,,,Ability to organize and interpret multiple sensory inputs simultaneously
Attention and Perception,Attention,Selective Attention,Visual Selective Attention,Location-Based Selection,,,Level of sensitivity to sensory stimuli
Attention and Perception,Attention,Selective Attention,Auditory Selective Attention,,,,Ability to distinguish between different sensory stimuli
Attention and Perception,Attention,Selective Attention,Auditory Selective Attention,Speech Stream Segregation,,,Presence or absence of physical discomfort or pain
Attention and Perception,Attention,Selective Attention,Auditory Selective Attention,Frequency-Based Selection,,,Awareness and interpretation of pain signals
Attention and Perception,Attention,Divided Attention,,,,,Ability to function despite presence of physical discomfort
Attention and Perception,Attention,Divided Attention,Dual-Task Performance,,,,Overall sense of physical comfort and absence of distress
Attention and Perception,Attention,Divided Attention,Dual-Task Performance,Task Switching Efficiency,,,"The ability to focus on, process, and interpret sensory information from the environment while filtering out irrelevant stimuli."
Attention and Perception,Attention,Divided Attention,Dual-Task Performance,Resource Allocation,,,The cognitive process of selectively concentrating on specific aspects of the environment while ignoring others.
Attention and Perception,Attention,Divided Attention,Multi-Modal Processing,,,,The ability to maintain focus on a task or stimulus over an extended period of time.
Attention and Perception,Attention,Divided Attention,Multi-Modal Processing,Cross-Modal Coordination,,,The ability to maintain attention over extended periods while monitoring for rare or infrequent events.
Attention and Perception,Attention,Divided Attention,Multi-Modal Processing,Modality Switching,,,The ability to discriminate between meaningful signals and background noise during vigilance tasks.
Attention and Perception,Sensory Processing,,,,,,Pattern of alertness and sleepiness throughout the day
Attention and Perception,Sensory Processing,Visual Processing,,,,,The ability to maintain a state of readiness to respond over long periods of monitoring.
Attention and Perception,Sensory Processing,Visual Processing,Form Discrimination,,,,The ability to maintain focus and effort on a continuous task until completion.
Attention and Perception,Sensory Processing,Visual Processing,Form Discrimination,Shape Analysis,,,The ability to maintain performance quality despite prolonged mental effort.
Attention and Perception,Sensory Processing,Visual Processing,Form Discrimination,Form Constancy,,,The ability to keep task objectives active in working memory throughout task execution.
Attention and Perception,Sensory Processing,Visual Processing,Color Processing,,,,The ability to focus on relevant stimuli while filtering out irrelevant distractions.
Attention and Perception,Sensory Processing,Visual Processing,Color Processing,Color Discrimination,,,The ability to focus on relevant visual information while ignoring visual distractors.
Attention and Perception,Sensory Processing,Visual Processing,Color Processing,Color Memory,,,"The ability to selectively attend to specific visual features such as color, shape, or movement."
Attention and Perception,Sensory Processing,Visual Processing,Motion Processing,,,,The ability to selectively attend to specific spatial locations in the visual field.
Attention and Perception,Sensory Processing,Visual Processing,Motion Processing,Velocity Detection,,,The ability to focus on relevant auditory information while ignoring auditory distractors.
Attention and Perception,Sensory Processing,Visual Processing,Motion Processing,Trajectory Tracking,,,The ability to focus on a single voice or sound stream in the presence of competing auditory inputs.
Attention and Perception,Sensory Processing,Auditory Processing,,,,,The ability to selectively attend to specific auditory frequencies or patterns.
Attention and Perception,Sensory Processing,Auditory Processing,Phonological Processing,,,,"The ability to understand, express, and exchange information through various modes of communication, including verbal and non-verbal means"
