level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,description
Behavioral Control,Impulse Control,Response Inhibition,Motor Inhibition,,,,,,The ability to express thoughts and ideas effectively in written form.,
Behavioral Control,Impulse Control,Response Inhibition,Cognitive Inhibition,,,,,,The ability to control intrusive thoughts.,
Behavioral Control,Self-Discipline,,,,,,,,The ability to logically structure ideas in written form for clear communication.,
Behavioral Control,Self-Discipline,Persistence,,,,,,,The correctness of spelling in written communication.,
Behavioral Control,Self-Discipline,Persistence,Resilience Building,,,,,,"Behavioral Control refers to the ability to regulate and manage one's actions and reactions in various situations. It involves self-discipline, impulse control, and the capacity to follow rules and instructions. This dimension is applicable to everyday functioning and is fundamental in achieving personal and social goals.",
Behavioral Control,Self-Discipline,Persistence,Goal Re-evaluation,,,,,,The capacity to resist urges and temptations in order to act in accordance with long-term goals and values.,
Behavioral Control,Self-Discipline,Time Management,,,,,,,Allocating time effectively for activities.,
Behavioral Control,Self-Discipline,Time Management,Prioritization Skills,,,,,,The ability to wait and delay immediate rewards for future benefits.,
Behavioral Control,Self-Discipline,Time Management,Scheduling Efficiency,,,,,,The process of increasing one's ability to wait without frustration or agitation.,
Behavioral Control,Rule Adherence,,,,,,,,The ability to weigh present actions against future rewards.,
Behavioral Control,Rule Adherence,Social Norms Compliance,,,,,,,The ability to suppress actions that are inappropriate or no longer required.,
Behavioral Control,Rule Adherence,Social Norms Compliance,Cultural Sensitivity,,,,,,The ability to control physical actions and movements.,
Behavioral Control,Rule Adherence,Social Norms Compliance,Situational Appropriateness,,,,,,Suppressing unwanted or irrelevant thoughts.,
Behavioral Control,Rule Adherence,Legal Compliance,,,,,,,The ability to pursue goals and complete tasks through sustained effort and commitment.,
Behavioral Control,Rule Adherence,Legal Compliance,Regulatory Knowledge,,,,,,The capacity to continue striving toward a goal despite obstacles.,
Behavioral Control,Rule Adherence,Legal Compliance,Ethical Judgement,,,,,,The ability to recover quickly from difficulties.,
Behavioral Control,Emotional Regulation within Control,,,,,,,,Assessing and adjusting goals based on feedback and outcomes.,
Behavioral Control,Emotional Regulation within Control,Emotional Awareness,,,,,,,The ability to recognize and understand one's own emotions as well as the emotions of others. This includes recognizing emotional expressions and understanding emotional triggers.,
Behavioral Control,Emotional Regulation within Control,Emotional Awareness,Emotional Identification,,,,,,Effectively organizing and planning time to achieve goals.,
Behavioral Control,Emotional Regulation within Control,Emotional Awareness,Emotional Monitoring,,,,,,The ability to rank tasks in order of importance.,
Behavioral Control,Emotional Regulation within Control,Emotional Modulation,,,,,,,Creating effective timelines and personal deadlines.,
Behavioral Control,Emotional Regulation within Control,Emotional Modulation,Emotion Expression Control,,,,,,"The capacity to understand and follow social and moral norms, rules, and laws.",
Behavioral Control,Emotional Regulation within Control,Emotional Modulation,Self-soothing Techniques,,,,,,Understanding and adhering to societal rules and expectations.,
Physical Health and Activity,,,,,,,,,Awareness and respect for cultural differences in social norms.,
Physical Health and Activity,Physical Fitness,,,,,,,,Understanding what behaviors are suitable in various social contexts.,
Physical Health and Activity,Physical Fitness,Strength,,,,,,,The understanding and adherence to laws and regulations.,
Physical Health and Activity,Physical Fitness,Strength,Muscular Strength,,,,,,Understanding the laws and regulations applicable to one’s context.,
Physical Health and Activity,Physical Fitness,Strength,Muscular Endurance,,,,,,Applying moral reasoning in adherence to laws.,
Physical Health and Activity,Physical Fitness,Flexibility,,,,,,,Managing emotions effectively to maintain control over behaviors in different situations.,
Physical Health and Activity,Physical Fitness,Flexibility,Static Flexibility,,,,,,Recognizing and understanding one's own emotions.,
Physical Health and Activity,Physical Fitness,Flexibility,Dynamic Flexibility,,,,,,The ability to name and categorize one's own emotions accurately.,
Physical Health and Activity,Physical Fitness,Endurance,,,,,,,The ongoing assessment of one's emotional state.,
Physical Health and Activity,Physical Fitness,Endurance,Cardiorespiratory Endurance,,,,,,Adjusting emotional responses to suit situational demands.,
Physical Health and Activity,Physical Fitness,Endurance,Muscular Endurance,,,,,,Applying moral reasoning in adherence to laws.,
Physical Health and Activity,Nutrition and Diet,,,,,,,,Regulating visible reactions to emotions.,
Physical Health and Activity,Nutrition and Diet,Macronutrient Balance,,,,,,,Methods to calm oneself during emotional distress.,
Physical Health and Activity,Nutrition and Diet,Macronutrient Balance,Low-Carbohydrate Diet,,,,,,"The overall health and physical functioning of an individual, encompassing both physical wellness and engagement in physical activities.",
Physical Health and Activity,Nutrition and Diet,Macronutrient Balance,High-Protein Diet,,,,,,"The condition of being physically healthy and strong, including components such as strength, flexibility, and endurance.",
Physical Health and Activity,Nutrition and Diet,Macronutrient Balance,Low-Fat Diet,,,,,,The ability of muscles to exert force during an activity.,
Physical Health and Activity,Nutrition and Diet,Micronutrient Intake,,,,,,,The amount of force a muscle can produce with a single maximal effort.,
Physical Health and Activity,Nutrition and Diet,Micronutrient Intake,Vitamin Intake,,,,,,The ability of a muscle to sustain repeated contractions against a resistance for an extended period.,
Physical Health and Activity,Nutrition and Diet,Micronutrient Intake,Mineral Intake,,,,,,The range of motion available at a joint or group of joints.,
Physical Health and Activity,Nutrition and Diet,Dietary Diversity,,,,,,,The ability to hold an extended position at one end or point in a joint’s range of motion.,
Physical Health and Activity,Nutrition and Diet,Dietary Diversity,Food Variety,,,,,,"The ability to make rapid, repeated movements of articulations through their complete range of motion.",
Physical Health and Activity,Nutrition and Diet,Dietary Diversity,Nutritional Density,,,,,,The ability to sustain physical activity over prolonged periods.,
Physical Health and Activity,Sleep and Rest,,,,,,,,The ability of the heart and lungs to supply oxygen to the body during sustained physical activity.,
Physical Health and Activity,Sleep and Rest,Sleep Quality,,,,,,,The ability of a muscle group to continue performing over time without fatigue.,
Physical Health and Activity,Sleep and Rest,Sleep Quality,Sleep Duration,,,,,,The study and practice of consuming and utilizing foods and nutrients to support bodily functions and promote health.,
Physical Health and Activity,Sleep and Rest,Sleep Quality,Sleep Continuity,,,,,,"The proportion of carbohydrates, proteins, and fats in the diet.",
Physical Health and Activity,Sleep and Rest,Rest Periods,,,,,,,"A diet that restricts carbohydrates, primarily found in sugary foods, pasta, and bread.",
Physical Health and Activity,Sleep and Rest,Rest Periods,Active Rest,,,,,,A diet in which protein constitutes an unusually high percentage of the total dietary intake.,
Physical Health and Activity,Sleep and Rest,Rest Periods,Passive Rest,,,,,,A diet that contains a reduced amount of fat compared to typical intake.,
Physical Health and Activity,Motor Skills,,,,,,,,Memory of physical movements and coordination tasks.,
Physical Health and Activity,Motor Skills,Fine Motor Skills,,,,,,,"Skills involving small muscles, such as using fingers to write.",
Physical Health and Activity,Motor Skills,Fine Motor Skills,Hand-Eye Coordination,,,,,,The consumption of vitamins and minerals essential for body functions.,
Physical Health and Activity,Motor Skills,Fine Motor Skills,Dexterity,,,,,,The consumption of essential vitamins necessary for various body functions.,
Physical Health and Activity,Motor Skills,Gross Motor Skills,,,,,,,"Skills involving large muscles, like running or jumping.",
Physical Health and Activity,Motor Skills,Gross Motor Skills,Balance,,,,,,The consumption of essential minerals necessary for various body functions.,
Physical Health and Activity,Motor Skills,Gross Motor Skills,Coordination,,,,,,Variety and range of different foods consumed across food groups.,
Physical Health and Activity,Energy Levels,,,,,,,,Consuming a wide variety of foods from all the food groups in the right amounts.,
Physical Health and Activity,Energy Levels,Physical Energy,,,,,,,The concentration of essential nutrients in a particular volume or calorie amount of food.,
Physical Health and Activity,Energy Levels,Physical Energy,Stamina,,,,,,"Patterns and quality of sleep, rest periods, and their impact on overall health and activity levels.",
Physical Health and Activity,Energy Levels,Mental Energy,,,,,,,"The restfulness and efficiency of sleep, including duration and depth.",
Physical Health and Activity,Energy Levels,Mental Energy,Mental Focus,,,,,,The total amount of sleep obtained in a 24-hour period.,
Physical Health and Activity,Energy Levels,Energy Recovery,,,,,,,The ease with which sleep is sustained throughout the night without interruption.,
Physical Health and Activity,Energy Levels,Energy Recovery,Sleep Recovery,,,,,,The frequency and effectiveness of rest intervals during waking hours.,
Physical Health and Activity,Energy Levels,Energy Recovery,Nutritional Recovery,,,,,,Engaging in light physical activities during rest periods to promote recovery.,
Attention and Perception,,,,,,,,,Taking complete rest without engaging in any physical activity.,
Attention and Perception,Selective Attention,,,,,,,,The ability to focus on a specific stimulus while ignoring background distractions.,
Attention and Perception,Selective Attention,Focused Attention,,,,,,,The ability to perform complex muscle and nerve acts that produce movement; fine and gross motor skills.,
Attention and Perception,Selective Attention,Focused Attention,Intensive Focus,,,,,,"The coordination of small muscles in movements such as writing, using a computer, etc.",
Attention and Perception,Selective Attention,Focused Attention,Intensive Focus,Hyper-focusing,,,,,The ability to coordinate hand movement with visual input to perform a task.,
Attention and Perception,Selective Attention,Focused Attention,Intensive Focus,Hyper-focusing,Flow State Engagement,,,,"Skill in performing tasks, especially with the hands, where small, precise movements are required.",
Attention and Perception,Selective Attention,Focused Attention,Intensive Focus,Hyper-focusing,Flow State Engagement,Complete Immersive State,,,"The ability to perform movements requiring large muscle groups, such as walking and jumping.",
Attention and Perception,Selective Attention,Focused Attention,Intensive Focus,Hyper-focusing,Flow State Engagement,Complete Immersive State,Superfluous Engagement Intensity,,"The ability to maintain the body’s position, whether moving or stationary.",
Attention and Perception,Selective Attention,Focused Attention,Intensive Focus,Hyper-focusing,Flow State Engagement,Complete Immersive State,Superfluous Engagement Intensity,Extreme Absorption,The ability to use different parts of the body together smoothly and efficiently.,
Attention and Perception,Selective Attention,Focused Attention,Intensive Focus,Hyper-focusing,Flow State Engagement,Complete Immersive State,Superfluous Engagement Intensity,Extreme Absorption,Absolute Cognitive Exclusion,The overall capacity of an individual to sustain physical or mental activity; often related to health and wellness.
Attention and Perception,Short-term Concentration,,,,,,,,The capacity to perform physical tasks without undue fatigue.,
Attention and Perception,Short-term Concentration,Brief Task Engagement,,,,,,,The ability to sustain prolonged physical or mental effort.,
Attention and Perception,Short-term Concentration,Brief Task Engagement,Rapid Focus Allocation,,,,,,The capacity to perform cognitive tasks without undue fatigue.,
Attention and Perception,Short-term Concentration,Brief Task Engagement,Rapid Focus Allocation,Acute Task Orientation,,,,,The ability to concentrate attention on a specific task or thought process for an extended period.,
Attention and Perception,Short-term Concentration,Brief Task Engagement,Rapid Focus Allocation,Acute Task Orientation,Intense Transitory Attention,,,,The ability to recover energy levels after exertion or stress.,
Attention and Perception,Short-term Concentration,Brief Task Engagement,Rapid Focus Allocation,Acute Task Orientation,Intense Transitory Attention,Prompt Engagement Execution,,,The process of regaining energy and physical strength from sleep.,
Attention and Perception,Short-term Concentration,Brief Task Engagement,Rapid Focus Allocation,Acute Task Orientation,Intense Transitory Attention,Prompt Engagement Execution,Instantaneous Task Focus Mastery,,"Recovering energy and stamina through nutritional intake, such as post-exercise nutrition.",
Attention and Perception,Alternating Attention,,,,,,,,Switching focus between tasks with distinct goals.,
Attention and Perception,Alternating Attention,Task Switching,,,,,,,The ability to alternate between tasks effectively.,
Attention and Perception,Alternating Attention,Task Switching,Transition Smoothness,,,,,,"The ability to focus and process sensory information from the environment, encompassing the allocation of mental resources towards specific stimuli and the interpretation of sensory inputs.",
Attention and Perception,Alternating Attention,Task Switching,Transition Smoothness,Seamless Cognitive Transition,,,,,"The capacity to focus on specific information or stimuli while ignoring others, filtering out distractions.",
Attention and Perception,Alternating Attention,Task Switching,Transition Smoothness,Seamless Cognitive Transition,Fluent Task Exchange,,,,The ability to concentrate on a single task or stimulus for a short period without being distracted.,
Attention and Perception,Alternating Attention,Task Switching,Transition Smoothness,Seamless Cognitive Transition,Fluent Task Exchange,Effortless Task Interruption Management,,,The ability to maintain a high level of concentration and exclude all external stimuli to achieve acute awareness.,
Attention and Perception,Alternating Attention,Task Switching,Transition Smoothness,Seamless Cognitive Transition,Fluent Task Exchange,Effortless Task Interruption Management,Interrupted Task Recovery,,"The ability to intensely focus on a task or stimulus beyond typical levels, often at the cost of under-processing other stimuli.",
Attention and Perception,Alternating Attention,Task Switching,Transition Smoothness,Seamless Cognitive Transition,Fluent Task Exchange,Effortless Task Interruption Management,Interrupted Task Recovery,Uninterrupted Cognitive Flow Restoration,"The experience of being fully immersed and involved in a task, resulting in enhanced performance and reduced awareness of the external environment.",
Attention and Perception,Switching Efficiency,,,,,,,,"Achieving a state where one's entire cognitive resources are devoted to the task at hand, potentially leading to a heightened sense of time distortion and absorption.",
Attention and Perception,Switching Efficiency,Processing Shift Speed,,,,,,,"Engaging in a task with an extraordinary depth of focus, surpassing the typical absorption level, possibly impacting time perception and task dynamics.",
Attention and Perception,Switching Efficiency,Processing Shift Speed,Quick Reorientation Ability,,,,,,Reaching a heightened level of focus that results in almost complete detachment from the external surroundings. This state maximizes the efficiency and effectiveness of task performance.,
Attention and Perception,Switching Efficiency,Processing Shift Speed,Quick Reorientation Ability,Swift Cognitive Reset,,,,,"Achieving a mental state where no external stimuli penetrate awareness, allowing for ultimate task immersion and focus.",
Attention and Perception,Switching Efficiency,Processing Shift Speed,Quick Reorientation Ability,Swift Cognitive Reset,Rapid Reengagement Proficiency,,,,The skill of rapidly focusing mental effort on a single point for brief tasks.,
Attention and Perception,Switching Efficiency,Processing Shift Speed,Quick Reorientation Ability,Swift Cognitive Reset,Rapid Reengagement Proficiency,Flexible Task Adaptation,,,"Engaging completely in tasks that require intense focus for a short duration, like puzzles or quick problem-solving activities.",
Attention and Perception,Switching Efficiency,Processing Shift Speed,Quick Reorientation Ability,Swift Cognitive Reset,Rapid Reengagement Proficiency,Flexible Task Adaptation,Adaptive Cognitive Resilience,,Quickly directing attention to urgent or quickly changing tasks and maintaining sufficient focus to execute them promptly.,
Attention and Perception,Sustained Attention,,,,,,,,The ability to maintain attention and focus on continuous or repetitive tasks over a period of time.,
Attention and Perception,Sustained Attention,Vigilance,,,,,,,The ability to maintain attention over prolonged periods with low stimulus frequency.,
Attention and Perception,Sustained Attention,Vigilance,Alertness Maintenance,,,,,,"The ability to quickly and effectively orient one's attention towards a task requiring immediate focus, executing it with precision in limited time frames.",
Attention and Perception,Sustained Attention,Vigilance,Alertness Maintenance,Longitudinal Alertness,,,,,"Swiftly engaging with transient tasks demanding immediate focus, with high precision and minimal latency in cognitive shift.",
Attention and Perception,Sustained Attention,Vigilance,Alertness Maintenance,Longitudinal Alertness,Prolonged Vigilance Responsiveness,,,,Rapidly initiating and maintaining attention on transient tasks with precise cognitive shifts and focus.,
Attention and Perception,Sustained Attention,Vigilance,Alertness Maintenance,Longitudinal Alertness,Prolonged Vigilance Responsiveness,Enduring Attention Readiness,,,"Achieving immediate and flawless focus on rapidly changing tasks, ensuring high performance and minimal transitional delay.",
Attention and Perception,Sustained Attention,Vigilance,Alertness Maintenance,Longitudinal Alertness,Prolonged Vigilance Responsiveness,Enduring Attention Readiness,Chronic Vigilance Aptitude,,The capacity to switch focus between tasks or mental processes effectively.,
Attention and Perception,Sustained Attention,Vigilance,Alertness Maintenance,Longitudinal Alertness,Prolonged Vigilance Responsiveness,Enduring Attention Readiness,Chronic Vigilance Aptitude,Endless Alertness Sustenance,The ability to shift attention seamlessly from one task or thought process to another.,
Attention and Perception,Sustained Attention,Vigilance,Alertness Maintenance,Longitudinal Alertness,Prolonged Vigilance Responsiveness,Enduring Attention Readiness,Chronic Vigilance Aptitude,Endless Alertness Sustenance,Boundless Sensory Awareness,The efficiency and ease with which an individual can transition their attention between different tasks.
Attention and Perception,Mental Stamina,,,,,,,,Efficiently changing cognitive strategies or tasks without significant disruption in performance or focus.,
Attention and Perception,Mental Stamina,Cognitive Endurance,,,,,,,The skill of transitioning between tasks with minimal cognitive friction and maintained performance levels.,
Attention and Perception,Mental Stamina,Cognitive Endurance,Persistent Cognitive Load Handling,,,,,,"Handling task interruptions smoothly, allowing for easy continuation or switching without decline in task quality.",
Attention and Perception,Mental Stamina,Cognitive Endurance,Persistent Cognitive Load Handling,Enduring Mental Focus,,,,,"The ability to quickly recover and regain focus on a primary task after an interruption, ensuring continued high-quality performance.",
Attention and Perception,Mental Stamina,Cognitive Endurance,Persistent Cognitive Load Handling,Enduring Mental Focus,Highly-Sustained Cognitive Engagement,,,,"Achieving uninterrupted focus restoration after task switching, maintaining optimal cognitive flow and task performance.",
Attention and Perception,Mental Stamina,Cognitive Endurance,Persistent Cognitive Load Handling,Enduring Mental Focus,Highly-Sustained Cognitive Engagement,Resilient Cognitive Persistence,,,The speed and effectiveness with which attention can be shifted from one task to another without loss of performance.,
Attention and Perception,Mental Stamina,Cognitive Endurance,Persistent Cognitive Load Handling,Enduring Mental Focus,Highly-Sustained Cognitive Engagement,Resilient Cognitive Persistence,Stalwart Cognitive Fortitude,,The rapidity with which an individual can change their mental focus from one stimulus to another in dynamic settings.,
Attention and Perception,Mental Stamina,Cognitive Endurance,Persistent Cognitive Load Handling,Enduring Mental Focus,Highly-Sustained Cognitive Engagement,Resilient Cognitive Persistence,Stalwart Cognitive Fortitude,Unyielding Mental Strength,The skill of swiftly redirecting focus from one activity to another without a decline in accuracy or effectiveness.,
Adaptive Functioning and Life Skills,,,,,,,,,"The capacity to quickly reset one's cognitive state when moving to a new task or stimulus, maintaining continuity and precision.",
Adaptive Functioning and Life Skills,Daily Living Skills,,,,,,,,"Expertly regaining high levels of focus and task engagement following a swift shift or distraction, maintaining task consistency.",
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care Skills,,,,,,,The ability to adapt and maintain focus across diverse tasks or rapidly changing environments with minimal performance disruption.,
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care Skills,Grooming Skills,,,,,,Demonstrating resilience in quickly shifting focus and maintaining high performance across varying task demands and contexts.,
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care Skills,Grooming Skills,Hair Care Skills,,,,,The ability to maintain focus and consistent performance on a task over an extended period.,
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care Skills,Grooming Skills,Hair Care Skills,Shampooing Techniques,,,,The ability to maintain concentrated attention over prolonged periods of time during which stimuli are infrequent.,
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care Skills,Grooming Skills,Hair Care Skills,Hair Styling Skills,,,,The skill of staying mentally alert and responsive during extended periods of minimal stimulation.,
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care Skills,Grooming Skills,Oral Hygiene Skills,,,,,The ability to sustain attentiveness and quickly respond to rare stimuli over an extended time.,
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care Skills,Grooming Skills,Oral Hygiene Skills,Tooth Brushing Techniques,,,,Sustaining high levels of alertness and readiness to respond to stimuli over long durations.,
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care Skills,Grooming Skills,Oral Hygiene Skills,Flossing Skills,,,,Maintaining readiness and heightened attention for responding to stimuli over extensive periods without fatigue.,
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care Skills,Dressing Skills,,,,,,"The unusual ability to persistently maintain alertness over extreme periods, responding to rare and critical stimuli efficiently.",
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care Skills,Dressing Skills,Clothing Selection Skills,,,,,Consistently maintaining extreme levels of alertness and capacity to detect stimuli over exceedingly long durations through intrinsic alertness management.,
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care Skills,Dressing Skills,Clothing Selection Skills,Weather-Appropriate Dressing,,,,Maintaining an exceptionally vigilant state that permits continuous detection and cognitive processing of rare stimuli over indefinite periods.,
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care Skills,Dressing Skills,Dressing Assistance Skills,,,,,The ability to sustain cognitive effort during lengthy tasks without significant loss of performance.,
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care Skills,Dressing Skills,Dressing Assistance Skills,Buttoning Skills,,,,The ability to keep exerting mental effort on cognitive tasks over a prolonged duration.,
Adaptive Functioning and Life Skills,Daily Living Skills,Personal Care Skills,Dressing Skills,Dressing Assistance Skills,Zippering Skills,,,,Efficiently managing and processing large or continuous information loads over prolonged task durations without significant fatigue.,
Adaptive Functioning and Life Skills,Daily Living Skills,Home Living Skills,,,,,,,The capacity to continue mental work with high cognitive demand without noticeable reduction in concentration.,
Adaptive Functioning and Life Skills,Daily Living Skills,Home Living Skills,Meal Preparation Skills,,,,,,Maintaining high levels of mental engagement and performance over lengthy periods despite increasing cognitive demands.,
Adaptive Functioning and Life Skills,Daily Living Skills,Home Living Skills,Meal Preparation Skills,Cooking Skills,,,,,"The resilience to sustain mental task engagement regardless of escalating cognitive or environmental challenges, without decrement in performance.",
Adaptive Functioning and Life Skills,Daily Living Skills,Home Living Skills,Meal Preparation Skills,Cooking Skills,Baking Skills,,,,The capability to uphold consistent cognitive performance across demanding and sustained mental challenges effectively.,
Adaptive Functioning and Life Skills,Daily Living Skills,Home Living Skills,Meal Preparation Skills,Cooking Skills,Stovetop Cooking Skills,,,,"Exhibiting robust cognitive stamina to handle sustained mental workloads and stressors, ensuring sustained performance.",
Adaptive Functioning and Life Skills,Daily Living Skills,Home Living Skills,Meal Preparation Skills,Nutritional Planning Skills,,,,,"Adaptive functioning refers to the age-appropriate behaviors necessary for people to live independently and to function safely and appropriately in daily life. This includes daily living skills, social skills, and communication skills that enable individuals to adapt to their environment and fulfill their personal needs.",
Adaptive Functioning and Life Skills,Daily Living Skills,Home Living Skills,Meal Preparation Skills,Nutritional Planning Skills,Dietary Guidelines Knowledge,,,,"Skills required for personal care, home living, community use, and health and safety.",
Adaptive Functioning and Life Skills,Daily Living Skills,Home Living Skills,Meal Preparation Skills,Nutritional Planning Skills,Meal Portioning Skills,,,,Skills necessary for maintaining personal hygiene and self-care routines.,
Adaptive Functioning and Life Skills,Daily Living Skills,Home Living Skills,Cleaning and Maintenance Skills,,,,,,"Abilities related to maintaining personal cleanliness and appearance, such as brushing teeth and hair care.",
Adaptive Functioning and Life Skills,Daily Living Skills,Home Living Skills,Cleaning and Maintenance Skills,Housekeeping Skills,,,,,"Abilities related to washing, drying, and styling hair appropriately.",
Adaptive Functioning and Life Skills,Daily Living Skills,Home Living Skills,Cleaning and Maintenance Skills,Housekeeping Skills,Vacuuming Techniques,,,,Skills related to properly shampooing hair to maintain scalp and hair health.,
Adaptive Functioning and Life Skills,Daily Living Skills,Home Living Skills,Cleaning and Maintenance Skills,Housekeeping Skills,Dusting Skills,,,,Abilities to style hair using various tools for different occasions.,
Adaptive Functioning and Life Skills,Daily Living Skills,Home Living Skills,Cleaning and Maintenance Skills,Simple Repair Skills,,,,,"Abilities related to brushing teeth, flossing, and maintaining dental hygiene.",
Adaptive Functioning and Life Skills,Daily Living Skills,Home Living Skills,Cleaning and Maintenance Skills,Simple Repair Skills,Tool Use Skills,,,,Skills involved in brushing teeth effectively to maintain dental health.,
Adaptive Functioning and Life Skills,Daily Living Skills,Home Living Skills,Cleaning and Maintenance Skills,Simple Repair Skills,Plumbing Basics,,,,Abilities to use dental floss properly to clean between teeth.,
Adaptive Functioning and Life Skills,Daily Living Skills,Community Use Skills,,,,,,,Skills required to independently select and wear appropriate clothing.,
Adaptive Functioning and Life Skills,Daily Living Skills,Community Use Skills,Transportation Skills,,,,,,Abilities to choose appropriate clothing for different occasions and weather conditions.,
Adaptive Functioning and Life Skills,Daily Living Skills,Community Use Skills,Transportation Skills,Public Transit Navigation Skills,,,,,Skills to select clothing based on weather conditions to ensure comfort and safety.,
Adaptive Functioning and Life Skills,Daily Living Skills,Community Use Skills,Transportation Skills,Public Transit Navigation Skills,Bus Route Familiarity,,,,"Skills to independently manage buttons, zippers, and other clothing fasteners.",
Adaptive Functioning and Life Skills,Daily Living Skills,Community Use Skills,Transportation Skills,Driving Skills,,,,,Abilities to correctly fasten and unfasten buttons.,
Adaptive Functioning and Life Skills,Daily Living Skills,Community Use Skills,Transportation Skills,Driving Skills,Traffic Laws Knowledge,,,,Skills required to use zippers effectively on various types of clothing.,
Adaptive Functioning and Life Skills,Daily Living Skills,Community Use Skills,Financial Management Skills,,,,,,Abilities involved in managing and maintaining a household.,
Adaptive Functioning and Life Skills,Daily Living Skills,Community Use Skills,Financial Management Skills,Budgeting Skills,,,,,"Skills needed for planning, preparing, and cooking meals.",
Adaptive Functioning and Life Skills,Daily Living Skills,Community Use Skills,Financial Management Skills,Budgeting Skills,Expense Tracking Skills,,,,Abilities related to following recipes and using kitchen appliances safely.,
Adaptive Functioning and Life Skills,Daily Living Skills,Community Use Skills,Financial Management Skills,Monetary Transaction Skills,,,,,Skills related to preparing baked goods using an oven or other appliances.,
Adaptive Functioning and Life Skills,Daily Living Skills,Community Use Skills,Financial Management Skills,Monetary Transaction Skills,Cash Handling Skills,,,,Abilities to cook meals using various stovetop methods such as frying and boiling.,
Adaptive Functioning and Life Skills,Daily Living Skills,Community Use Skills,Financial Management Skills,Digital Banking Skills,,,,,Skills to understand and incorporate nutritional information into meal preparation.,
Adaptive Functioning and Life Skills,Daily Living Skills,Health and Safety Skills,,,,,,,Understanding of dietary recommendations for balanced nutrition.,
Adaptive Functioning and Life Skills,Daily Living Skills,Health and Safety Skills,Health Management Skills,,,,,,Abilities to appropriately portion food to meet nutritional needs.,
Adaptive Functioning and Life Skills,Daily Living Skills,Health and Safety Skills,Health Management Skills,Medication Management Skills,,,,,Abilities to keep the home clean and perform basic maintenance tasks.,
Adaptive Functioning and Life Skills,Daily Living Skills,Health and Safety Skills,Health Management Skills,Medication Management Skills,Prescription Recognition Skills,,,,Skills related to organizing and cleaning living spaces.,
Adaptive Functioning and Life Skills,Daily Living Skills,Health and Safety Skills,Health Management Skills,Medical Appointment Skills,,,,,Abilities to use a vacuum cleaner efficiently to clean floors.,
Adaptive Functioning and Life Skills,Daily Living Skills,Health and Safety Skills,Health Management Skills,Medical Appointment Skills,Healthcare Navigation Skills,,,,Skills to remove dust from surfaces effectively.,
Adaptive Functioning and Life Skills,Daily Living Skills,Health and Safety Skills,Safety Awareness Skills,,,,,,"Abilities to perform basic household repairs, such as fixing a leaky faucet.",
Adaptive Functioning and Life Skills,Daily Living Skills,Health and Safety Skills,Safety Awareness Skills,Emergency Response Skills,,,,,Understanding how to use basic household tools like hammers and screwdrivers.,
Adaptive Functioning and Life Skills,Daily Living Skills,Health and Safety Skills,Safety Awareness Skills,Emergency Response Skills,First Aid Skills,,,,Skills to address minor plumbing issues like unclogging drains.,
Adaptive Functioning and Life Skills,Daily Living Skills,Health and Safety Skills,Safety Awareness Skills,Personal Safety Skills,,,,,Skills needed to effectively engage with and navigate community resources and spaces.,
Adaptive Functioning and Life Skills,Daily Living Skills,Health and Safety Skills,Safety Awareness Skills,Personal Safety Skills,Situational Awareness Skills,,,,Abilities related to using public or private transport independently and safely.,
Adaptive Functioning and Life Skills,Social Skills,,,,,,,,"Skills for using buses, trains, and other public transportation systems.",
Adaptive Functioning and Life Skills,Social Skills,Interpersonal Skills,,,,,,,Knowledge of local bus routes and schedules to navigate the transit system.,
Adaptive Functioning and Life Skills,Social Skills,Interpersonal Skills,Empathy Skills,,,,,,Abilities related to operating a private vehicle safely.,
Adaptive Functioning and Life Skills,Social Skills,Interpersonal Skills,Empathy Skills,Active Listening Skills,,,,,Understanding of road signs and traffic regulations for safe driving.,
Adaptive Functioning and Life Skills,Social Skills,Interpersonal Skills,Empathy Skills,Active Listening Skills,Paraphrasing Skills,,,,"Skills necessary for budgeting, shopping, and managing personal finances.",
Adaptive Functioning and Life Skills,Social Skills,Interpersonal Skills,Empathy Skills,Emotional Recognition Skills,,,,,Abilities to plan and adhere to a personal or household budget.,
Adaptive Functioning and Life Skills,Social Skills,Interpersonal Skills,Empathy Skills,Emotional Recognition Skills,Facial Expression Recognition,,,,Interpreting emotions through the observation of facial expressions.,
Adaptive Functioning and Life Skills,Social Skills,Interpersonal Skills,Cooperation Skills,,,,,,Skills involved in monitoring and recording expenditures to manage finances.,
Adaptive Functioning and Life Skills,Social Skills,Interpersonal Skills,Cooperation Skills,Teamwork Skills,,,,,Skills related to making purchases and handling money effectively.,
