level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,description
Communication and Language,Receptive Language,Reading Comprehension,Word Recognition,Visual Word Recognition,,,,The ability to recognize and understand the application of grammar rules in spoken language.
Communication and Language,Receptive Language,Reading Comprehension,Word Recognition,Decoding Skills,,,,"The ability to understand and extract meaning from written text, including literal and inferential comprehension of written materials."
Communication and Language,Receptive Language,Reading Comprehension,Word Recognition,Orthographic Processing,,,,The ability to identify and decode written words accurately and efficiently.
Communication and Language,Receptive Language,Reading Comprehension,Text Analysis,,,,,The ability to recognize familiar words by sight without decoding.
Communication and Language,Receptive Language,Reading Comprehension,Text Analysis,Main Idea Identification,,,,The ability to apply letter-sound relationships to read unfamiliar words.
Communication and Language,Receptive Language,Reading Comprehension,Text Analysis,Inferential Reasoning,,,,The ability to recognize and remember letter patterns and sequences in words.
Communication and Language,Receptive Language,Reading Comprehension,Text Analysis,Detail Recognition,,,,The ability to understand relationships between ideas and make inferences from written text.
Communication and Language,Receptive Language,Reading Comprehension,Content Integration,,,,,The ability to identify and understand the central theme or main point of a text.
Communication and Language,Receptive Language,Visual-Gestural Comprehension,,,,,,The ability to draw logical conclusions from information that is implied but not explicitly stated.
Communication and Language,Receptive Language,Visual-Gestural Comprehension,Sign Recognition,,,,,The ability to identify and understand specific supporting details within a text.
Communication and Language,Receptive Language,Visual-Gestural Comprehension,Spatial Processing,,,,,The ability to combine information from different parts of text and connect it with prior knowledge.
Communication and Language,Receptive Language,Visual-Gestural Comprehension,Sequential Processing,,,,,The ability to understand and process sign language and other visual-gestural communication systems.
Communication and Language,Expressive Language,,,,,,,The ability to recognize and understand individual signs and gestures.
Communication and Language,Expressive Language,Verbal Expression,,,,,,The ability to communicate emotional experiences through language and speech
Communication and Language,Expressive Language,Verbal Expression,Word Retrieval,,,,,The ability to understand spatial relationships and movements in sign language.
Communication and Language,Expressive Language,Verbal Expression,Sentence Construction,,,,,The ability to understand and process sequences of signs and gestures.
Communication and Language,Expressive Language,Verbal Expression,Discourse Organization,,,,,"The ability to produce and use spoken, written, or signed language to communicate thoughts, needs, and ideas effectively."
Communication and Language,Expressive Language,Written Expression,,,,,,"The ability to produce spoken language, including word finding, sentence formation, and verbal fluency."
Communication and Language,Expressive Language,Written Expression,Spelling and Word Formation,,,,,The ability to quickly and accurately access and produce appropriate vocabulary.
Communication and Language,Expressive Language,Written Expression,Written Grammar,,,,,The ability to form grammatically correct and meaningful sentences.
Communication and Language,Expressive Language,Written Expression,Writing Organization,,,,,The ability to organize and present information in a coherent and logical manner.
Communication and Language,Expressive Language,Alternative Expression,,,,,,"The ability to communicate through written language, including spelling, grammar, and composition."
Communication and Language,Expressive Language,Alternative Expression,Sign Production,,,,,The ability to correctly spell words and use appropriate word forms in writing.
Communication and Language,Expressive Language,Alternative Expression,Non-Manual Markers,,,,,The ability to apply grammatical rules and construct proper sentences in writing.
Communication and Language,Expressive Language,Alternative Expression,Alternative System Use,,,,,The ability to structure written content in a coherent and purposeful manner.
Communication and Language,Pragmatic Communication,,,,,,,The ability to communicate through sign language or other alternative communication systems.
Communication and Language,Pragmatic Communication,Social Context Understanding,,,,,,The ability to understand and predict others' thoughts and beliefs
Communication and Language,Pragmatic Communication,Social Context Understanding,Social Norm Recognition,,,,,The ability to produce accurate and meaningful signs and gestures.
Communication and Language,Pragmatic Communication,Social Context Understanding,Perspective Taking,,,,,The ability to reframe situations to change their emotional impact
Communication and Language,Pragmatic Communication,Social Context Understanding,Situational Awareness,,,,,The ability to produce appropriate facial expressions and body movements that complement signing.
Communication and Language,Pragmatic Communication,Conversation Skills,,,,,,The ability to effectively use various alternative communication systems and devices.
Communication and Language,Pragmatic Communication,Conversation Skills,Turn-Taking,,,,,The use of gestures to regulate social interaction and turn-taking
Communication and Language,Pragmatic Communication,Conversation Skills,Topic Management,,,,,"The social use of language and communication, including understanding context, following social rules, and adapting communication style to different situations."
Communication and Language,Pragmatic Communication,Conversation Skills,Repair Strategies,,,,,The ability to sustain social exchanges and keep conversations flowing naturally
Communication and Language,Pragmatic Communication,Communication Adaptation,,,,,,The ability to understand and respond appropriately to social situations and conversational contexts.
Communication and Language,Pragmatic Communication,Communication Adaptation,Register Variation,,,,,The ability to identify and understand appropriate social behaviors and communication rules.
Communication and Language,Pragmatic Communication,Communication Adaptation,Audience Adaptation,,,,,The ability to understand and consider others' viewpoints during communication.
Communication and Language,Pragmatic Communication,Communication Adaptation,Cultural Sensitivity,,,,,The ability to recognize and respond to social and environmental cues in communication.
Communication and Language,Non-verbal Communication,,,,,,,"The ability to engage in reciprocal communication, including turn-taking, topic maintenance, and appropriate responses."
Communication and Language,Non-verbal Communication,Facial Expression,,,,,,The ability to appropriately alternate between speaking and listening roles in conversation.
Communication and Language,Non-verbal Communication,Facial Expression,Emotion Recognition,,,,,The ability to identify and label different emotional experiences as they occur
Communication and Language,Non-verbal Communication,Facial Expression,Expression Production,,,,,"The ability to introduce, maintain, and change topics appropriately in conversation."
Communication and Language,Non-verbal Communication,Facial Expression,Expression Integration,,,,,The ability to identify and resolve communication breakdowns and misunderstandings.
Communication and Language,Non-verbal Communication,Body Language,,,,,,"The ability to produce facial expressions for complex emotions (pride, shame, embarrassment, concern)"
Communication and Language,Non-verbal Communication,Body Language,Gesture Use,,,,,The ability to maintain appropriate physical distance and spacing in social interactions
Communication and Language,Non-verbal Communication,Body Language,Posture Communication,,,,,"The ability to modify communication style based on the audience, setting, and social context."
Communication and Language,Non-verbal Communication,Body Language,Proxemics,,,,,The ability to adjust language formality and style according to the social context.
Communication and Language,Non-verbal Communication,Paralinguistic Features,,,,,,The ability to modify communication based on the listener's needs and characteristics.
Communication and Language,Non-verbal Communication,Paralinguistic Features,Voice Modulation,,,,,The ability to adjust communication style in accordance with cultural norms and expectations.
Communication and Language,Non-verbal Communication,Paralinguistic Features,Prosodic Understanding,,,,,"The ability to understand and use non-verbal cues such as facial expressions, gestures, body language, and tone of voice to enhance communication."
Communication and Language,Non-verbal Communication,Paralinguistic Features,Vocal Affect,,,,,The ability to understand and use facial expressions to convey and interpret emotions and meanings.
Behavioral Control,,,,,,,,The ability to identify and interpret emotional expressions in faces.
Behavioral Control,Impulse Control,,,,,,,The ability to suppress or delay immediate emotional reactions when necessary
Behavioral Control,Impulse Control,Delay Gratification,,,,,,The ability to produce appropriate facial expressions to convey emotions and meanings.
Behavioral Control,Impulse Control,Delay Gratification,Reward Assessment,,,,,The ability to coordinate facial expressions with other forms of communication.
Behavioral Control,Impulse Control,Delay Gratification,Reward Assessment,Temporal Discounting,,,,"The ability to understand and use posture, gestures, and physical movements to communicate meaning."
Behavioral Control,Impulse Control,Delay Gratification,Reward Assessment,Cost-Benefit Analysis,,,,The ability to produce and understand meaningful hand and body gestures.
Behavioral Control,Impulse Control,Delay Gratification,Waiting Tolerance,,,,,The ability to convey and interpret meaning through body positioning and stance.
Behavioral Control,Impulse Control,Delay Gratification,Waiting Tolerance,Emotional Regulation During Delay,,,,The ability to understand and use appropriate physical distance in social interactions.
Behavioral Control,Impulse Control,Delay Gratification,Waiting Tolerance,Alternative Activity Engagement,,,,"The ability to understand and use vocal qualities such as tone, pitch, volume, and rhythm to enhance communication."
Behavioral Control,Impulse Control,Action Restraint,,,,,,The ability to adjust vocal characteristics for effective communication.
Behavioral Control,Impulse Control,Action Restraint,Stimulus Resistance,,,,,"The ability to comprehend and use rhythm, stress, and intonation in speech."
Behavioral Control,Impulse Control,Action Restraint,Stimulus Resistance,Trigger Recognition,,,,The ability to express and interpret emotional meaning through voice quality.
Behavioral Control,Impulse Control,Action Restraint,Stimulus Resistance,Response Prevention,,,,"The ability to regulate and manage one's behavior in accordance with situational demands, social norms, and personal goals"
Behavioral Control,Impulse Control,Action Restraint,Response Preparation,,,,,"The ability to resist or delay immediate urges, desires, and impulses in favor of more appropriate or long-term beneficial behaviors"
Behavioral Control,Impulse Control,Action Restraint,Response Preparation,Action Planning,,,,"The ability to postpone immediate rewards in favor of later, more valuable outcomes"
Behavioral Control,Impulse Control,Action Restraint,Response Preparation,Implementation Timing,,,,The ability to evaluate and compare the value of immediate versus delayed rewards
Behavioral Control,Self-Regulation,,,,,,,The ability to weigh the relative value of rewards across different time periods
Behavioral Control,Self-Regulation,Goal Maintenance,,,,,,The ability to evaluate the advantages and disadvantages of immediate versus delayed rewards
Behavioral Control,Self-Regulation,Goal Maintenance,Priority Management,,,,,The capacity to manage frustration and maintain composure during delay periods
Behavioral Control,Self-Regulation,Goal Maintenance,Priority Management,Task Prioritization,,,,The ability to manage emotional responses while waiting for delayed rewards
Behavioral Control,Self-Regulation,Goal Maintenance,Priority Management,Resource Allocation,,,,The ability to engage in productive activities while waiting for delayed rewards
Behavioral Control,Self-Regulation,Goal Maintenance,Persistence,,,,,"The ability to withhold or prevent an action before it begins, particularly in response to tempting or triggering stimuli"
Behavioral Control,Self-Regulation,Goal Maintenance,Persistence,Effort Sustainability,,,,The ability to resist responding to tempting or provocative environmental triggers
Behavioral Control,Self-Regulation,Goal Maintenance,Persistence,Setback Recovery,,,,The ability to identify and anticipate potentially triggering stimuli
Behavioral Control,Self-Regulation,Performance Monitoring,,,,,,The ability to actively suppress automatic responses to triggering stimuli
Behavioral Control,Self-Regulation,Performance Monitoring,Error Detection,,,,,The ability to pause and plan before acting in response to a stimulus
Behavioral Control,Self-Regulation,Performance Monitoring,Error Detection,Real-time Monitoring,,,,The ability to develop appropriate response strategies before acting
Behavioral Control,Self-Regulation,Performance Monitoring,Error Detection,Post-action Review,,,,The ability to determine the optimal moment to initiate a planned response
Behavioral Control,Self-Regulation,Performance Monitoring,Behavioral Adjustment,,,,,"The capacity to monitor and adjust one's behavior, emotions, and cognitive processes to meet environmental demands and personal objectives"
Behavioral Control,Self-Regulation,Performance Monitoring,Behavioral Adjustment,Correction Implementation,,,,The ability to keep goals in mind and persist in goal-directed behavior despite distractions or competing demands
Behavioral Control,Self-Regulation,Performance Monitoring,Behavioral Adjustment,Learning Integration,,,,The ability to organize and maintain focus on tasks according to their importance and urgency
Behavioral Control,Response Inhibition,,,,,,,The ability to suppress automatic or prepotent responses
Behavioral Control,Response Inhibition,Interference Control,,,,,,The ability to filter out irrelevant information or distractions
Behavioral Control,Response Inhibition,Interference Control,Distraction Resistance,,,,,The ability to rank and order tasks based on their relative importance and time sensitivity
Behavioral Control,Response Inhibition,Interference Control,Distraction Resistance,External Distraction Management,,,,The ability to distribute attention and effort across tasks based on their priority level
Behavioral Control,Response Inhibition,Interference Control,Distraction Resistance,Internal Distraction Control,,,,The ability to maintain effort and commitment toward goals despite challenges or setbacks
Behavioral Control,Response Inhibition,Interference Control,Cognitive Filtering,,,,,The ability to maintain consistent effort levels over extended periods
Behavioral Control,Response Inhibition,Interference Control,Cognitive Filtering,Information Prioritization,,,,The ability to bounce back and continue pursuing goals after experiencing failures or obstacles
Behavioral Control,Response Inhibition,Interference Control,Cognitive Filtering,Interference Suppression,,,,The ability to evaluate and adjust one's behavior based on feedback and outcomes
Behavioral Control,Response Inhibition,Motor Inhibition,,,,,,The ability to recognize mistakes or suboptimal performance in one's actions
Behavioral Control,Response Inhibition,Motor Inhibition,Movement Control,,,,,The ability to identify errors as they occur during task execution
Behavioral Control,Response Inhibition,Motor Inhibition,Movement Control,Fine Motor Control,,,,The ability to reflect on and identify mistakes after task completion
Behavioral Control,Response Inhibition,Motor Inhibition,Movement Control,Fine Motor Control,Precision Grip Control,,,The ability to modify actions based on performance feedback and outcomes
Behavioral Control,Response Inhibition,Motor Inhibition,Movement Control,Fine Motor Control,Manual Dexterity,,,The ability to execute necessary behavioral changes based on identified errors
Behavioral Control,Response Inhibition,Motor Inhibition,Movement Control,Gross Motor Regulation,,,,The ability to incorporate lessons from past mistakes into future behavior
Behavioral Control,Response Inhibition,Motor Inhibition,Movement Control,Gross Motor Regulation,Postural Control,,,The ability to suppress automatic or prepotent responses that are inappropriate for the current context or situation
Behavioral Control,Response Inhibition,Motor Inhibition,Movement Control,Gross Motor Regulation,Movement Coordination,,,The ability to maintain and adjust body posture appropriate to social situations
Behavioral Control,Response Inhibition,Motor Inhibition,Action Cancellation,,,,,The ability to filter out irrelevant stimuli and maintain focus on task-relevant information
Behavioral Control,Response Inhibition,Motor Inhibition,Action Cancellation,Response Termination,,,,The ability to maintain focus despite competing environmental stimuli
Behavioral Control,Response Inhibition,Motor Inhibition,Action Cancellation,Response Termination,Stop Signal Processing,,,The ability to maintain focus despite environmental noise or visual distractions
Behavioral Control,Response Inhibition,Motor Inhibition,Action Cancellation,Response Termination,Motor Deactivation,,,The ability to manage internal distractions such as irrelevant thoughts or urges
Behavioral Control,Response Inhibition,Motor Inhibition,Action Cancellation,Motor Redirection,,,,The ability to selectively process relevant information while ignoring irrelevant information
Behavioral Control,Response Inhibition,Motor Inhibition,Action Cancellation,Motor Redirection,Response Switching,,,The ability to identify and focus on the most relevant information in a given context
Behavioral Control,Response Inhibition,Motor Inhibition,Action Cancellation,Motor Redirection,Alternative Movement Generation,,,The ability to actively suppress processing of irrelevant information
Behavioral Control,Behavioral Flexibility,,,,,,,The ability to stop or prevent physical actions that are no longer appropriate or needed
Behavioral Control,Behavioral Flexibility,Rule Shifting,,,,,,The ability to regulate the speed and force of physical movements
Behavioral Control,Behavioral Flexibility,Rule Shifting,Rule Learning,,,,,"The ability to make precise, controlled small muscle movements"
Behavioral Control,Behavioral Flexibility,Rule Shifting,Rule Learning,Rule Comprehension,,,,The ability to modulate force and coordination in small object manipulation
Behavioral Control,Behavioral Flexibility,Rule Shifting,Rule Learning,Rule Integration,,,,The ability to perform skilled hand movements with accuracy and speed
Behavioral Control,Behavioral Flexibility,Rule Shifting,Set Switching,,,,,The ability to control large muscle movements and overall body motion
Behavioral Control,Behavioral Flexibility,Rule Shifting,Set Switching,Cognitive Flexibility,,,,The ability to switch between different tasks or mental sets
Behavioral Control,Behavioral Flexibility,Rule Shifting,Set Switching,Response Adaptation,,,,The ability to maintain and adjust body position and balance
Behavioral Control,Behavioral Flexibility,Strategic Adaptation,,,,,,The ability to coordinate multiple body parts in purposeful motion
Behavioral Control,Behavioral Flexibility,Strategic Adaptation,Feedback Integration,,,,,The ability to stop an ongoing motor response when signaled
Behavioral Control,Behavioral Flexibility,Strategic Adaptation,Feedback Integration,Feedback Recognition,,,,The ability to completely stop an action in progress
Behavioral Control,Behavioral Flexibility,Strategic Adaptation,Feedback Integration,Strategy Modification,,,,The ability to quickly recognize and process signals indicating the need to stop
Behavioral Control,Behavioral Flexibility,Strategic Adaptation,Strategy Selection,,,,,The ability to select and use appropriate strategies to manage emotional experiences
Behavioral Control,Behavioral Flexibility,Strategic Adaptation,Strategy Selection,Situational Assessment,,,,The ability to rapidly cease muscle activation patterns
Behavioral Control,Behavioral Flexibility,Strategic Adaptation,Strategy Selection,Strategy Matching,,,,The ability to switch to a different motor response when needed
Physical Health and Activity,,,,,,,,The ability to transition from one motor pattern to another
Physical Health and Activity,Motor Function,,,,,,,The ability to quickly generate and implement alternative motor responses
Physical Health and Activity,Motor Function,Gross Motor Skills,,,,,,The ability to adapt behavior in response to changing environmental demands or circumstances
Physical Health and Activity,Motor Function,Gross Motor Skills,Locomotor Skills,,,,,The ability to switch between different rules or response patterns based on changing situations or requirements
Physical Health and Activity,Motor Function,Gross Motor Skills,Locomotor Skills,Gait Pattern,,,,The ability to understand and internalize new behavioral rules or expectations
Physical Health and Activity,Motor Function,Gross Motor Skills,Locomotor Skills,Gait Pattern,Stride Regularity,,,The ability to understand and interpret new behavioral guidelines
Physical Health and Activity,Motor Function,Gross Motor Skills,Locomotor Skills,Gait Pattern,Gait Speed Control,,,The ability to incorporate new rules into existing behavioral frameworks
Physical Health and Activity,Motor Function,Gross Motor Skills,Locomotor Skills,Running Mechanics,,,,The ability to transition between different response sets or behavioral patterns
Physical Health and Activity,Motor Function,Gross Motor Skills,Locomotor Skills,Running Mechanics,Running Efficiency,,,The ability to mentally shift between different response patterns
Physical Health and Activity,Motor Function,Gross Motor Skills,Locomotor Skills,Running Mechanics,Sprint Capacity,,,The ability to modify behavioral responses according to new rules
Physical Health and Activity,Motor Function,Gross Motor Skills,Locomotor Skills,Jump Performance,,,,The ability to modify behavioral strategies based on environmental feedback and changing circumstances
Physical Health and Activity,Motor Function,Gross Motor Skills,Locomotor Skills,Jump Performance,Vertical Jump Power,,,The ability to incorporate environmental feedback into behavioral adjustments
Physical Health and Activity,Motor Function,Gross Motor Skills,Locomotor Skills,Jump Performance,Horizontal Jump Distance,,,The ability to identify and interpret environmental feedback signals
Physical Health and Activity,Motor Function,Gross Motor Skills,Static Balance,,,,,The ability to adjust behavioral strategies based on received feedback
Physical Health and Activity,Motor Function,Gross Motor Skills,Static Balance,Single Leg Balance,,,,The ability to choose appropriate behavioral strategies based on situational demands
Physical Health and Activity,Motor Function,Gross Motor Skills,Static Balance,Postural Control,,,,The ability to suppress automatic or prepotent responses that are inappropriate for the current context or situation
Physical Health and Activity,Motor Function,Gross Motor Skills,Dynamic Balance,,,,,The ability to evaluate environmental conditions and requirements
Physical Health and Activity,Motor Function,Gross Motor Skills,Dynamic Balance,Balance Recovery,,,,The ability to select the most appropriate behavioral strategy for the situation
Physical Health and Activity,Motor Function,Gross Motor Skills,Dynamic Balance,Movement Transition Control,,,,"The overall state of bodily functions, movement capabilities, and engagement in physical activities that support health and development"
Physical Health and Activity,Motor Function,Fine Motor Skills,,,,,,"The ability to control, coordinate, and execute voluntary movements, including both gross and fine motor skills"
Physical Health and Activity,Motor Function,Fine Motor Skills,Manual Dexterity,,,,,The ability to execute necessary behavioral changes based on identified errors
Physical Health and Activity,Motor Function,Fine Motor Skills,Manual Dexterity,Finger Manipulation,,,,"The ability to coordinate large muscle groups for whole-body movements such as walking, running, and maintaining balance"
Physical Health and Activity,Motor Function,Fine Motor Skills,Manual Dexterity,Tool Manipulation,,,,"The ability to move the body from one location to another, including walking, running, jumping, and climbing"
Physical Health and Activity,Motor Function,Fine Motor Skills,Hand-Eye Coordination,,,,,"The coordination and pattern of walking movements, including stride length, speed, and smoothness"
Physical Health and Activity,Motor Function,Fine Motor Skills,Hand-Eye Coordination,Visual Tracking Accuracy,,,,The consistency and evenness of step length and timing during walking
Physical Health and Activity,Motor Function,Fine Motor Skills,Hand-Eye Coordination,Spatial Precision,,,,The ability to modulate walking speed while maintaining stability and coordination
Physical Health and Activity,Motor Function,Fine Motor Skills,Grip Strength,,,,,"The coordination and efficiency of running movements, including speed, endurance, and form"
Physical Health and Activity,Motor Function,Fine Motor Skills,Grip Strength,Power Grip,,,,The energy expenditure and biomechanical effectiveness of running movement
Physical Health and Activity,Motor Function,Fine Motor Skills,Grip Strength,Precision Grip,,,,"The ability to perform quick, powerful running movements over short distances"
Physical Health and Activity,Motor Function,Motor Planning,,,,,,"The ability to perform various jumping movements, including vertical and horizontal jumps"
Physical Health and Activity,Motor Function,Motor Planning,Movement Sequencing,,,,,The explosive strength and coordination in upward jumping movements
Physical Health and Activity,Motor Function,Motor Planning,Motor Adaptation,,,,,The power and coordination in forward jumping movements
Physical Health and Activity,Motor Function,Motor Planning,Motor Learning,,,,,The ability to maintain body position and stability while standing still or holding a posture
Physical Health and Activity,Physical Fitness,,,,,,,The ability to maintain stability while standing on one leg
Physical Health and Activity,Physical Fitness,Cardiovascular Endurance,,,,,,The ability to maintain alignment and stability in various standing positions
Physical Health and Activity,Physical Fitness,Cardiovascular Endurance,Aerobic Capacity,,,,,The ability to maintain stability while moving or shifting body position
Physical Health and Activity,Physical Fitness,Cardiovascular Endurance,Aerobic Capacity,VO2 Max,,,,The ability to regain stability after perturbation or displacement
Physical Health and Activity,Physical Fitness,Cardiovascular Endurance,Aerobic Capacity,Anaerobic Threshold,,,,The ability to maintain balance while changing between different movements or positions
Physical Health and Activity,Physical Fitness,Cardiovascular Endurance,Recovery Rate,,,,,"The ability to make precise movements using small muscle groups, particularly in the hands and fingers"
Physical Health and Activity,Physical Fitness,Cardiovascular Endurance,Endurance Sustainability,,,,,The ability to manipulate small objects with precision and coordination using the hands
Physical Health and Activity,Physical Fitness,Muscular Strength,,,,,,The precise control and coordination of individual finger movements
Physical Health and Activity,Physical Fitness,Muscular Strength,Upper Body Strength,,,,,The ability to effectively use tools and implements with proper grip and control
Physical Health and Activity,Physical Fitness,Muscular Strength,Core Strength,,,,,The ability to coordinate hand movements with visual input for precise tasks
Physical Health and Activity,Physical Fitness,Muscular Strength,Lower Body Strength,,,,,The ability to accurately follow moving objects with coordinated hand movements
Physical Health and Activity,Physical Fitness,Physical Flexibility,,,,,,The accuracy of hand movements in relation to visual targets
Physical Health and Activity,Physical Fitness,Physical Flexibility,Joint Mobility,,,,,The force and control of grasping and holding objects
Physical Health and Activity,Physical Fitness,Physical Flexibility,Muscle Elasticity,,,,,The strength of whole-hand grasping for larger objects
Physical Health and Activity,Physical Well-being,,,,,,,The controlled force application in fine pincer and precision grips
Physical Health and Activity,Physical Well-being,Sleep Function,,,,,,"The ability to plan, sequence, and execute novel or complex motor actions"
Physical Health and Activity,Physical Well-being,Sleep Function,Sleep Quality,,,,,The ability to organize and perform a series of movements in the correct order
Physical Health and Activity,Physical Well-being,Sleep Function,Sleep Quality,Sleep Efficiency,,,,The ability to adjust movement patterns based on environmental demands or feedback
Physical Health and Activity,Physical Well-being,Sleep Function,Sleep Quality,Sleep Architecture,,,,The ability to acquire and refine new motor skills through practice and experience
Physical Health and Activity,Physical Well-being,Sleep Function,Sleep Quality,Sleep Architecture,NREM Sleep Distribution,,,"The body's ability to function efficiently and effectively in various physical activities, including endurance, strength, and flexibility"
Physical Health and Activity,Physical Well-being,Sleep Function,Sleep Quality,Sleep Architecture,REM Sleep Pattern,,,"The ability of the heart, lungs, and blood vessels to supply oxygen during sustained physical activity"
Physical Health and Activity,Physical Well-being,Sleep Function,Sleep-Wake Rhythm,,,,,The maximum amount of oxygen that can be utilized during intense physical activity
Physical Health and Activity,Physical Well-being,Energy Regulation,,,,,,The maximum rate of oxygen consumption during incremental exercise
Physical Health and Activity,Physical Well-being,Energy Regulation,Fatigue Management,,,,,The point at which the body transitions from aerobic to anaerobic energy production
Physical Health and Activity,Physical Well-being,Energy Regulation,Activity Tolerance,,,,,The speed at which heart rate and breathing return to baseline after physical exertion
Physical Health and Activity,Physical Well-being,Physical Comfort,,,,,,The ability to maintain cardiovascular activity over extended periods
Physical Health and Activity,Physical Well-being,Physical Comfort,Pain Perception,,,,,The amount of force muscles can generate in physical activities and resistance tasks
Physical Health and Activity,Physical Well-being,Physical Comfort,Sensory Tolerance,,,,,"The force generation capacity of arms, shoulders, and upper torso muscles"
Physical Health and Activity,Body Awareness,,,,,,,The force generation capacity of abdominal and back muscles
Physical Health and Activity,Body Awareness,Proprioception,,,,,,The force generation capacity of legs and hip muscles
Physical Health and Activity,Body Awareness,Proprioception,Joint Position Sense,,,,,"The range of motion in joints and muscles, allowing for fluid movement and reduced risk of injury"
Physical Health and Activity,Body Awareness,Proprioception,Movement Detection,,,,,The range of movement possible at specific joints
Physical Health and Activity,Body Awareness,Vestibular Function,,,,,,The ability of muscles to stretch and return to their original length
Physical Health and Activity,Body Awareness,Vestibular Function,Head Position Awareness,,,,,"The general state of bodily health, including sleep patterns, energy levels, and basic physiological functions"
Physical Health and Activity,Body Awareness,Vestibular Function,Gravitational Orientation,,,,,"The quality, duration, and regulation of sleep-wake cycles"
Physical Health and Activity,Body Awareness,Body Schema,,,,,,The depth and restfulness of sleep periods
Physical Health and Activity,Body Awareness,Body Schema,Body Part Localization,,,,,The ratio of time spent asleep to time spent in bed
Physical Health and Activity,Body Awareness,Body Schema,Spatial Body Awareness,,,,,The distribution and progression of sleep stages throughout the night
Attention and Perception,,,,,,,,The pattern and duration of non-rapid eye movement sleep stages
Attention and Perception,Attention,,,,,,,The timing and duration of rapid eye movement sleep periods
Attention and Perception,Attention,Sustained Attention,,,,,,The regularity and timing of sleep and wake periods
Attention and Perception,Attention,Sustained Attention,Vigilance,,,,,The ability to maintain and modulate energy levels throughout daily activities
Attention and Perception,Attention,Sustained Attention,Vigilance,Signal Detection,,,,The ability to cope with and recover from physical tiredness
Attention and Perception,Attention,Sustained Attention,Vigilance,Signal Detection,Detection Accuracy,,,The capacity to sustain activity levels appropriate for daily tasks
Attention and Perception,Attention,Sustained Attention,Vigilance,Signal Detection,Response Speed,,,"The experience and management of physical sensations, including pain and discomfort"
Attention and Perception,Attention,Sustained Attention,Vigilance,Fatigue Resistance,,,,The awareness and interpretation of pain signals
Attention and Perception,Attention,Sustained Attention,Vigilance,Fatigue Resistance,Performance Stability,,,The ability to manage and adapt to various physical sensations
Attention and Perception,Attention,Sustained Attention,Vigilance,Fatigue Resistance,Recovery Rate,,,"The ability to make precise movements using small muscle groups, particularly in the hands and fingers"
Attention and Perception,Attention,Sustained Attention,Task Persistence,,,,,"The ability to understand, sense, and regulate one's body position, movement, and physical state in space"
Attention and Perception,Attention,Sustained Attention,Task Persistence,Goal Maintenance,,,,The ability to evaluate the advantages and disadvantages of immediate versus delayed rewards
Attention and Perception,Attention,Sustained Attention,Task Persistence,Effort Regulation,,,,The awareness of body position and movement in space without visual input
Attention and Perception,Attention,Selective Attention,,,,,,The ability to perceive the position of joints without visual feedback
Attention and Perception,Attention,Selective Attention,Focused Attention,,,,,The ability to sense the direction and speed of limb movements
Attention and Perception,Attention,Selective Attention,Focused Attention,Target Detection,,,,The sense of balance and spatial orientation during movement and stillness
Attention and Perception,Attention,Selective Attention,Focused Attention,Distractor Suppression,,,,The ability to sense head position and movement in space
Attention and Perception,Attention,Selective Attention,Attentional Filtering,,,,,The ability to maintain awareness of vertical orientation and spatial position
Attention and Perception,Attention,Selective Attention,Attentional Filtering,Feature-Based Filtering,,,,The internal representation and awareness of body parts and their relationship to each other
Attention and Perception,Attention,Selective Attention,Attentional Filtering,Location-Based Filtering,,,,The ability to identify and locate body parts without visual input
Attention and Perception,Attention,Divided Attention,,,,,,The understanding of how body parts relate to each other in space
Attention and Perception,Attention,Divided Attention,Dual-Task Performance,,,,,"The ability to focus on, process, and respond to sensory information and stimuli from the environment, including both voluntary and involuntary processes of directing cognitive resources."
Attention and Perception,Attention,Divided Attention,Dual-Task Performance,Task Switching Efficiency,,,,"The cognitive process of selectively concentrating on specific aspects of the environment while ignoring others, including sustained attention, selective attention, and divided attention."
Attention and Perception,Attention,Divided Attention,Dual-Task Performance,Resource Allocation,,,,The ability to engage in productive activities while waiting for delayed rewards
Attention and Perception,Attention,Divided Attention,Multi-Task Management,,,,,"The ability to maintain focus on a specific task, stimulus, or activity over an extended period of time."
Attention and Perception,Attention,Divided Attention,Multi-Task Management,Task Prioritization,,,,The ability to manage emotional responses while waiting for delayed rewards
Attention and Perception,Attention,Divided Attention,Multi-Task Management,Performance Monitoring,,,,The ability to actively suppress automatic responses to triggering stimuli
Attention and Perception,Sensory Processing,,,,,,,The ability to maintain alertness and attention over prolonged periods while monitoring for rare or irregular events.
Attention and Perception,Sensory Processing,Visual Processing,,,,,,The ability to discriminate between meaningful signals and background noise during prolonged monitoring.
Attention and Perception,Sensory Processing,Visual Processing,Form Discrimination,,,,,The precision in correctly identifying target signals while minimizing false alarms.
Attention and Perception,Sensory Processing,Visual Processing,Form Discrimination,Shape Recognition,,,,The timeliness of detecting and responding to target signals when they appear.
Attention and Perception,Sensory Processing,Visual Processing,Form Discrimination,Size Estimation,,,,The ability to maintain consistent performance over time despite mental fatigue.
Attention and Perception,Sensory Processing,Visual Processing,Color Processing,,,,,The consistency of attention and performance levels across extended time periods.
Attention and Perception,Sensory Processing,Visual Processing,Color Processing,Color Discrimination,,,,The ability to restore attention levels after periods of mental fatigue.
